school_server_code,AstRoamer_Element_Hunt_Activity,Astroamer_Moon_Track,Astroamer_Planet_Trek_Activity,Food_sharing_tool,Ice,Ration Patterns,ages_puzzle,coins_puzzle,factorisation,policesquad
4122100-tg300,4.0,0.0,0.0,10.0,2.0,2.0,11.0,7.0,15.0,7.0
4231036-tg136,3.0,0.0,0.0,6.0,3.0,2.0,2.0,0.0,7.0,25.0
4202034-tg234,0.0,0.0,0.0,9.0,2.0,6.0,6.0,4.0,6.0,0.0
1011009-ct9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0
4192081-tg281,4.0,0.0,0.0,13.0,2.0,0.0,3.0,1.0,6.0,0.0
1011018-ct18,3.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,4.0,10.0
1011001-ct1,4.0,0.0,0.0,2.0,0.0,2.0,3.0,3.0,3.0,3.0
-ct33,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,4.0
1011020-ct20,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0
3051031-rj31,3.0,0.0,0.0,4.0,1.0,1.0,3.0,0.0,3.0,2.0
3051032-rj32,2.0,0.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0
1011019-ct19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
3072023-rj73,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
4202083-tg283,2.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0
3051001-rj1,4.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0
3051049-rj49,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
1011024-ct24,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0
4152031-tg231,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0
3051022-rj22,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
3072030-rj80,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0
1011011-ct11,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0
3072002-rj52,3.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
4202004-tg204,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0
3051026-rj26,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
1011022-ct22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2031005-mz5,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
3051006-rj6,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
3072026-rj76,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0
-ct32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
3051036-rj36,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
3051027-rj27,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
3051025-rj25,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0
-ct31,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
3072024-rj74,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
3072027-rj77,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
2031008-mz8,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0
3072032-rj82,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
4141008-tg108,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0
3051014-rj14,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
3072050-rj100,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
4231084-tg184,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0
2031016-mz16,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
2031011-mz11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
3051002-rj2,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3072028-rj78,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
3072031-rj81,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3051024-rj24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
1011006-ct6,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3051004-rj4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3072046-rj96,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
