school_server_code,AstRoamer_Element_Hunt_Activity,Food_sharing_tool,Ice,Ration Patterns,ages_puzzle,coins_puzzle,factorisation,policesquad
1011011-ct11,0.0,6.5,0.0,0.0,0.0,0.0,0.0,19.166666666666668
1011024-ct24,0.0,3.0,0.0,0.0,0.0,0.0,0.0,18.555555555555557
1011018-ct18,1.6666666666666667,4.5,0.0,0.0,2.5,2.3333333333333335,2.0,5.5
1011001-ct1,3.5,2.5,0.0,1.5,2.3333333333333335,2.3333333333333335,2.6666666666666665,2.0
1011022-ct22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.428571428571429
1011009-ct9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.1
1011019-ct19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
-ct33,1.0,3.3076923076923075,0.0,0.0,0.0,0.0,1.0,2.0
1011020-ct20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.125
-ct32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.714285714285714
1011006-ct6,2.6666666666666665,4.0,0.0,0.0,0.0,0.0,0.0,0.0
1011003-ct3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
1011014-ct14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1011017-ct17,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1011010-ct10,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1011016-ct16,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1011005-ct5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
-ct31,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1011013-ct13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1011004-ct4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
-ct34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
