school_server_code,AstRoamer_Element_Hunt_Activity,Food_sharing_tool,Ice,Ration Patterns,ages_puzzle,coins_puzzle,factorisation,policesquad
1011009-ct9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,82.0
1011018-ct18,4.0,9.0,0.0,0.0,5.0,7.0,7.0,39.0
1011024-ct24,0.0,3.0,0.0,0.0,0.0,0.0,0.0,55.0
1011001-ct1,11.0,5.0,0.0,3.0,7.0,7.0,8.0,6.0
1011019-ct19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0
1011011-ct11,0.0,13.0,0.0,0.0,0.0,0.0,0.0,31.0
1011020-ct20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0
-ct33,1.0,27.0,0.0,0.0,0.0,0.0,1.0,5.0
1011022-ct22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
-ct32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
1011003-ct3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
1011006-ct6,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
1011014-ct14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
1011017-ct17,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-ct31,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
1011010-ct10,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1011016-ct16,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1011005-ct5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
1011004-ct4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
-ct34,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1011013-ct13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
