school_server_code,AstRoamer_Element_Hunt_Activity,Astroamer_Moon_Track,Astroamer_Planet_Trek_Activity,Food_sharing_tool,Ice,Ration Patters,ages_puzzle,coins_puzzle,factorisation,policesquad,Ration Patterns
2031014-mz14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.666666666666668,0.0
2031011-mz11,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,10.0,0.0
2031008-mz8,1.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,2.8,0.0
2031027-mz27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
2031016-mz16,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0
2031005-mz5,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,1.0,0.5,1.0
2031030-mz30,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
2031004-mz4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2031029-mz29,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2031017-mz17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
2031028-mz28,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
