school_server_code,AstRoamer_Element_Hunt_Activity,Astroamer_Moon_Track,Astroamer_Planet_Trek_Activity,Food_sharing_tool,Ice,Ration Patterns,Ration Patters,ages_puzzle,coins_puzzle,factorisation,policesquad
4231036-tg136,0.16666666666666666,0.0,0.0,0.5,0.12903225806451613,2.5,0.0,0.0625,0.0,0.3125,2.769230769230769
4231084-tg184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,1.75,2.25,0.0
4122100-tg300,0.21428571428571427,0.0,0.0,0.43333333333333335,0.06666666666666667,2.5,0.0,0.625,0.5625,1.475,0.45454545454545453
4202034-tg234,0.0,0.0,0.0,2.2222222222222223,0.47368421052631576,1.3333333333333333,0.0,0.45454545454545453,0.3,0.5652173913043478,0.0
4202004-tg204,1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.2,1.0,0.0
4192081-tg281,0.29411764705882354,0.0,0.0,1.894736842105263,0.47368421052631576,0.0,0.0,0.2631578947368421,0.1111111111111111,0.45454545454545453,0.0
4202083-tg283,0.2857142857142857,0.0,0.0,0.2857142857142857,0.2857142857142857,1.0,0.0,0.14285714285714285,0.125,0.4444444444444444,0.125
4202003-tg203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6666666666666666,0.0
4152072-tg272,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,2.0
4152031-tg231,1.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.125,0.0,0.375,0.42857142857142855
4152012-tg212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0
4231029-tg129,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
4152017-tg217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0
4202059-tg259,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4152035-tg235,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3333333333333333,0.0
4152092-tg292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4183023-tg23,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4141008-tg108,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,0.0
4152041-tg241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4231046-tg146,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
