school_server_code,AstRoamer_Element_Hunt_Activity,Food_sharing_tool,Ice,Ration Patterns,ages_puzzle,coins_puzzle,factorisation,policesquad
4231084-tg184,0.0,0.0,0.0,0.0,7.0,7.0,3.0,0.0
4122100-tg300,1.5,1.3,1.0,2.5,1.8181818181818181,2.5714285714285716,3.933333333333333,2.142857142857143
4202034-tg234,0.0,4.444444444444445,4.5,1.3333333333333333,1.6666666666666667,1.5,2.1666666666666665,0.0
4231036-tg136,1.6666666666666667,2.6666666666666665,1.3333333333333333,2.5,1.0,0.0,1.4285714285714286,4.32
4192081-tg281,1.25,2.769230769230769,4.5,0.0,1.6666666666666667,2.0,1.6666666666666667,0.0
4152031-tg231,3.5,2.0,0.0,0.0,1.0,0.0,1.5,1.5
4202083-tg283,1.0,1.0,2.0,1.0,1.0,1.0,1.3333333333333333,1.0
4202004-tg204,2.5,0.0,0.0,0.0,2.3333333333333335,1.0,3.0,0.0
4152072-tg272,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0
4202003-tg203,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
4141008-tg108,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
4202059-tg259,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4231029-tg129,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
4152035-tg235,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
4152012-tg212,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
4152017-tg217,0.0,0.0,0.0,0.0,1.0,0.0,1.5,0.0
4183023-tg23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4152092-tg292,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4152041-tg241,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4231046-tg146,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
