school_server_code,ages_puzzle,astroamer_element_hunt_activity,astroamer_planet_trek_activity,coins_puzzle,factorisation,food_sharing_tool,ice,policesquad,rationpatterns
4122100-tg300,4.461538461538462,6.166666666666667,0.0,3.888888888888889,11.25,5.166666666666667,6.0,360.0,21.5
4231084-tg184,124.0,0.0,0.0,124.0,33.5,0.0,0.0,0.0,0.0
4202083-tg283,13.0,0.0,0.0,13.0,1.3333333333333333,4.0,13.0,180.0,0.0
4202034-tg234,8.571428571428571,0.0,17.0,6.4,6.888888888888889,26.1875,31.25,0.0,62.25
4231036-tg136,2.5,5.75,0.0,5.0,1.625,41.5,4.666666666666667,13.921604938271603,26.5
4141008-tg108,39.0,0.0,0.0,39.0,10.0,0.0,9.0,0.0,0.0
4192081-tg281,17.0,3.0,0.0,0.0,16.5,16.833333333333332,31.0,0.0,0.0
4152072-tg272,0.0,0.0,0.0,0.0,0.0,5.0,0.0,60.96666666666667,0.0
4152012-tg212,19.0,0.5,0.0,19.0,5.0,0.0,0.0,0.0,0.0
4231046-tg146,10.5,0.0,0.0,0.0,21.0,1.0,7.0,0.0,0.0
4202004-tg204,5.666666666666667,8.5,0.0,8.0,13.0,2.0,0.0,0.0,0.0
4202059-tg259,0.0,4.75,0.0,0.0,0.0,24.5,0.0,0.0,0.0
4152023-tg223,0.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0
4152030-tg230,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
4152031-tg231,0.5,0.6666666666666666,0.0,0.0,0.5,3.3333333333333335,0.0,1.575,0.0
4202003-tg203,2.5,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
4183023-tg23,0.0,0.3333333333333333,0.0,0.0,0.0,5.0,0.0,0.0,0.0
4231029-tg129,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.283333333333333,0.0
4152017-tg217,2.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
4152002-tg202,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
4152038-tg238,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4152041-tg241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4152035-tg235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4152092-tg292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
