school_server_code,Server on Without Activity,Tools only Activity,Modules only Activity,Tools with Modules Activity
-tg100,195,0,5,0
4122100-tg300,0,29,70,21
4141008-tg108,75,5,19,3
4183052-tg52,91,0,1,0
4221074-tg174,66,0,8,1
4152031-tg231,4,7,38,19
4221040-tg140,29,9,21,9
1011001-ct1,21,1,31,9
1011009-ct9,0,9,24,27
4202034-tg234,2,15,25,12
4231029-tg129,9,13,26,5
2031010-mz10,48,0,1,0
3051010-rj10,34,1,12,1
4231084-tg184,20,1,20,3
4231050-tg150,43,0,1,0
1011019-ct19,1,5,21,14
3051001-rj1,12,0,19,5
1011018-ct18,1,8,15,12
1011020-ct20,11,5,8,11
1011004-ct4,7,2,25,0
-ct34,2,0,29,3
-ct31,18,1,8,5
1011011-ct11,3,1,20,8
1011014-ct14,4,1,23,1
4221095-tg195,18,0,9,0
3051032-rj32,0,6,9,11
3072031-rj81,9,0,13,3
3072042-rj92,16,0,9,0
3072043-rj93,20,0,3,2
1011017-ct17,6,0,17,2
1011026-ct26,18,0,7,0
-ct32,6,3,9,5
3051025-rj25,13,0,5,5
1011013-ct13,16,0,5,1
1011022-ct22,1,1,12,8
3051036-rj36,8,0,9,4
3072012-rj62,11,1,9,0
-ct33,3,2,3,13
2031020-mz20,6,0,14,0
2031030-mz30,10,1,4,5
3051031-rj31,2,4,9,5
1011006-ct6,3,0,13,4
1011024-ct24,3,1,7,9
1011007-ct7,9,0,10,1
3072026-rj76,5,0,9,5
1011005-ct5,1,1,17,0
1011028-ct28,6,2,10,1
4231058-tg158,17,0,1,0
3072029-rj79,14,0,2,2
3072023-rj73,0,1,8,10
3072003-rj53,8,0,9,0
3072030-rj80,3,0,10,4
3051018-rj18,3,0,11,2
4141009-tg109,0,2,7,8
3051041-rj41,10,1,5,0
3072032-rj82,6,0,5,4
3051006-rj6,2,0,7,6
2031017-mz17,2,0,12,1
1011010-ct10,5,0,8,2
4152038-tg238,12,0,3,0
3051049-rj49,3,2,3,6
3051026-rj26,1,0,7,6
3072002-rj52,2,0,9,3
4173075-tg75,4,1,7,2
4213025-tg25,9,0,1,4
1011016-ct16,4,1,6,2
3072024-rj74,4,0,5,4
3051013-rj13,6,0,4,3
3051044-rj44,8,0,2,2
3072040-rj90,3,1,5,3
2031007-mz7,4,0,6,2
3072006-rj56,7,1,2,2
4202004-tg204,2,2,6,2
3051022-rj22,1,1,5,5
4141090-tg190,11,0,1,0
3051033-rj33,0,0,10,1
4202003-tg203,7,2,2,0
3072014-rj64,5,0,5,1
3051047-rj47,3,1,6,1
4152015-tg215,1,1,7,2
3072027-rj77,1,0,6,4
4202032-tg232,4,0,7,0
3051014-rj14,3,0,6,2
2031027-mz27,2,0,7,1
2031008-mz8,4,0,4,2
1011003-ct3,3,0,4,3
3072013-rj63,2,0,8,0
3051002-rj2,2,0,5,3
3072008-rj58,2,0,7,1
3051004-rj4,2,0,5,3
3072036-rj86,1,0,7,2
3072028-rj78,2,0,2,5
3051023-rj23,6,0,3,0
4112043-tg243,5,0,4,0
3072050-rj100,1,1,4,3
3051028-rj28,5,0,2,1
3072025-rj75,0,0,6,2
3072041-rj91,0,1,4,3
3051015-rj15,4,0,2,2
4152013-tg213,0,0,8,0
3072018-rj68,1,1,4,2
3051005-rj5,6,0,1,0
3072044-rj94,1,0,4,2
4152030-tg230,5,0,2,0
3072049-rj99,0,0,6,1
3051027-rj27,1,0,2,4
4192099-tg299,2,0,5,0
3051030-rj30,1,0,4,2
3072033-rj83,3,0,3,1
2031005-mz5,3,0,3,1
3072034-rj84,1,0,4,1
4152035-tg235,0,0,4,2
3072015-rj65,1,0,5,0
2031004-mz4,3,0,2,1
2031022-mz22,2,0,4,0
3072047-rj97,1,1,4,0
3051045-rj45,3,0,3,0
3072016-rj66,1,0,5,0
3072046-rj96,0,2,5,1
4152092-tg292,1,0,4,0
4141012-tg112,4,0,1,0
3072048-rj98,1,1,2,1
4152041-tg241,0,1,4,0
4141035-tg135,4,0,1,0
3051011-rj11,1,0,1,2
3051024-rj24,0,0,3,1
1011008-ct8,2,0,2,0
4183032-tg32,3,0,1,0
2031028-mz28,2,0,1,1
3051040-rj40,2,0,1,0
3072019-rj69,0,1,2,0
3051019-rj19,2,0,1,0
3072035-rj85,0,0,2,1
3072022-rj72,0,0,2,1
4141092-tg192,0,0,1,0
