school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values
4122100-tg300,40,45,34,23,28,21,36,38,55,28,31,29,12
4152031-tg231,37,31,35,26,7,10,10,20,17,23,11,23,13
4202034-tg234,33,31,14,11,10,15,16,18,27,16,11,16,9
-ct34,25,21,13,5,5,4,12,15,19,21,12,10,10
1011009-ct9,22,8,35,16,1,9,2,7,5,4,11,2,1
1011001-ct1,17,17,11,1,3,4,18,6,15,15,10,3,2
4231029-tg129,10,8,13,5,4,6,5,16,9,11,6,14,3
3051032-rj32,8,8,11,7,5,13,4,4,7,10,8,7,6
1011019-ct19,4,7,21,6,1,1,14,11,12,5,6,7,3
3051001-rj1,7,10,5,4,3,3,10,8,7,9,11,7,6
4141009-tg109,7,5,13,12,6,5,6,8,4,6,4,7,2
1011018-ct18,10,8,14,7,2,6,8,8,5,4,8,5,0
3072023-rj73,8,9,11,5,4,5,9,4,4,13,1,6,4
4141008-tg108,15,13,5,1,9,2,4,4,5,7,5,1,6
4221040-tg140,13,7,6,1,2,12,9,7,2,6,2,3,1
4152013-tg213,7,7,5,4,2,4,5,6,7,7,5,5,4
-ct31,8,7,2,3,2,10,6,2,4,6,5,3,4
1011006-ct6,7,7,4,1,0,2,8,4,9,8,6,5,1
3051026-rj26,6,8,4,3,1,4,6,4,6,6,3,3,7
3051010-rj10,8,5,8,6,6,4,2,6,4,4,2,4,2
3072030-rj80,6,6,6,4,2,1,11,2,6,5,7,4,0
1011014-ct14,12,11,6,3,2,0,9,7,2,2,4,1,0
3072036-rj86,2,4,8,5,2,5,7,7,4,4,4,6,0
4152015-tg215,6,5,4,5,2,3,6,5,7,5,5,3,2
4202004-tg204,8,7,4,4,5,3,4,5,4,5,4,3,2
1011020-ct20,9,6,16,7,0,2,3,4,2,4,2,1,1
-ct33,11,5,5,6,2,13,5,1,2,4,0,1,0
3051006-rj6,3,3,4,5,1,3,9,1,3,10,5,4,3
4231084-tg184,6,2,4,2,5,0,15,7,6,1,0,6,0
3072002-rj52,6,7,3,2,2,3,9,2,4,6,3,4,1
3051031-rj31,3,6,3,4,2,4,10,2,4,9,1,2,2
1011004-ct4,24,11,2,1,1,0,1,1,8,2,1,0,0
1011022-ct22,4,1,14,5,2,1,7,2,5,4,2,2,2
3051033-rj33,6,4,3,3,4,4,7,3,3,6,3,2,3
1011007-ct7,7,7,1,1,3,2,11,2,5,4,3,1,3
3072032-rj82,5,4,5,4,2,2,6,4,4,7,4,1,2
1011016-ct16,6,3,8,6,5,2,3,2,3,3,2,2,2
3072026-rj76,4,2,11,6,4,6,4,2,3,4,1,0,0
1011011-ct11,18,2,12,5,1,2,1,1,1,1,0,0,0
4221095-tg195,8,6,3,2,1,1,2,4,2,2,6,4,2
3072025-rj75,3,5,3,3,3,2,4,4,3,5,2,3,2
1011028-ct28,9,7,3,1,1,3,3,3,5,3,3,0,1
3072044-rj94,3,4,3,2,2,3,4,5,4,4,3,2,3
4221074-tg174,3,3,3,2,2,2,4,6,2,4,3,5,1
3051004-rj4,5,4,4,2,2,1,3,4,6,6,2,0,1
1011017-ct17,2,3,1,1,1,1,7,6,8,3,3,3,1
4152035-tg235,4,4,4,1,3,1,3,3,3,5,3,2,3
3072042-rj92,5,3,5,4,2,2,6,2,4,2,0,1,1
3072031-rj81,4,3,1,1,2,0,2,6,8,3,5,1,1
3051027-rj27,3,2,4,3,1,3,3,1,4,5,3,3,2
