school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values
4202034-tg234,69,70,38,22,30,35,45,56,49,37,41,43,30
4122100-tg300,41,45,46,32,42,19,41,41,41,26,29,38,14
3072036-rj86,6,18,41,19,6,20,61,84,52,47,26,38,0
4152031-tg231,35,36,42,28,9,17,22,32,21,43,18,31,20
3072023-rj73,36,28,56,37,7,16,37,4,30,63,1,11,7
1011018-ct18,35,25,67,10,12,13,41,25,22,17,37,28,0
1011001-ct1,45,29,23,2,10,12,74,29,48,40,13,3,2
1011019-ct19,8,12,68,7,2,3,47,38,60,11,45,23,6
3072026-rj76,53,6,66,35,16,23,13,14,33,23,24,0,0
1011009-ct9,77,13,94,29,2,11,2,5,8,9,45,1,1
-ct34,41,34,24,10,5,5,18,21,28,31,20,26,12
4152015-tg215,43,31,7,6,9,8,27,26,33,26,33,22,2
4141009-tg109,32,16,38,16,11,7,22,41,18,11,12,37,4
3072032-rj82,32,10,50,6,3,14,32,8,37,50,9,5,7
3051032-rj32,13,21,34,18,7,30,11,5,20,29,21,25,23
3072002-rj52,23,16,33,6,3,14,53,3,10,46,23,10,5
3072030-rj80,44,17,25,8,3,2,58,2,49,9,14,6,0
3072044-rj94,9,19,29,4,6,28,15,40,11,18,30,3,8
4202004-tg204,36,38,10,7,16,4,6,24,7,30,13,23,6
3051001-rj1,11,14,20,5,4,18,27,27,13,23,35,11,7
3072042-rj92,54,13,48,7,3,2,41,2,38,4,0,1,1
3072013-rj63,25,13,12,2,4,13,7,33,17,8,27,37,14
3051006-rj6,8,8,17,7,2,13,39,1,26,47,13,19,4
4231029-tg129,32,18,32,7,7,9,5,26,14,16,8,25,4
3072024-rj74,54,7,46,13,3,24,1,1,4,40,0,0,0
3051033-rj33,31,12,12,5,5,5,34,6,23,19,29,4,6
4221040-tg140,39,15,16,2,3,15,12,21,24,9,2,29,1
1011007-ct7,36,27,4,2,8,8,53,2,8,17,9,4,9
3072040-rj90,21,6,19,0,0,36,0,25,17,3,31,28,0
3072043-rj93,36,8,40,14,2,7,26,1,35,13,0,0,0
3072050-rj100,6,8,28,19,8,10,31,14,23,18,0,16,1
3072015-rj65,28,16,20,4,3,3,33,23,7,22,18,0,1
3051022-rj22,15,30,33,13,7,0,2,6,32,27,5,0,3
1011014-ct14,36,17,35,6,3,0,34,20,7,4,9,1,0
1011022-ct22,21,5,45,9,3,3,26,2,27,11,13,3,3
4152013-tg213,20,27,15,5,3,9,7,11,19,11,12,20,9
3051026-rj26,24,23,10,16,1,22,12,9,8,17,11,5,10
3072025-rj75,17,15,23,4,4,4,20,8,12,29,8,10,11
3072028-rj78,6,8,4,2,2,49,21,1,5,10,36,17,1
2031030-mz30,69,2,41,3,2,2,1,6,1,0,31,1,0
2031017-mz17,31,38,23,3,4,2,41,1,4,3,0,0,0
3051013-rj13,13,10,36,20,0,21,17,3,5,4,4,11,4
3072008-rj58,7,5,4,2,2,27,40,1,4,3,45,3,0
1011017-ct17,6,7,4,2,2,1,28,27,28,12,12,9,1
3051004-rj4,36,15,16,4,4,1,6,6,26,18,4,0,1
3051030-rj30,45,9,7,3,4,21,31,1,5,5,3,0,1
3072014-rj64,10,10,17,7,2,2,3,22,9,13,21,19,0
3051002-rj2,11,13,2,4,0,6,31,10,12,29,5,6,5
3051049-rj49,8,20,13,5,12,7,18,1,1,29,3,17,0
4141008-tg108,35,19,9,2,17,2,5,4,14,10,8,1,6
