school_server_code,ages_puzzle,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity,coins_puzzle,factorisation,food_sharing_tool,ice,policesquad,rationpatterns
3051036-rj36,82.0,160.0,201.0,79.0,70.0,100.0,67.0,0.0,0.0,0.0
3051014-rj14,137.0,5.0,0.0,0.0,159.0,191.0,168.0,0.0,0.0,0.0
1011001-ct1,38.666666666666664,67.25,0.0,0.0,25.2,46.25,156.5,0.0,70.49166666666666,0.0
1011011-ct11,0.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0,220.92500000000004,0.0
3051025-rj25,0.0,0.0,0.0,0.0,0.0,0.0,101.5,0.0,201.10833333333332,0.0
4231084-tg184,124.0,0.0,0.0,0.0,124.0,33.5,0.0,0.0,0.0,0.0
2031016-mz16,67.0,0.0,0.0,0.0,67.0,67.0,67.0,0.0,5.833333333333333,0.0
3051044-rj44,0.0,99.33333333333333,105.0,13.0,0.0,0.0,52.0,0.0,0.0,0.0
3051006-rj6,0.0,85.5,131.0,6.0,0.0,0.0,2.0,0.0,34.11666666666667,0.0
1011018-ct18,40.0,8.0,0.0,0.0,35.333333333333336,27.75,82.66666666666667,0.0,33.53194444444444,0.0
3072024-rj74,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,194.0,0.0,25.716666666666665,0.0
1011024-ct24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.50185185185185,0.0
3072019-rj69,0.0,123.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3072006-rj56,0.0,0.0,0.0,0.0,0.0,5.0,187.0,0.0,0.0,0.0
1011009-ct9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,188.4688888888889,0.0
3072050-rj100,0.0,0.0,0.0,20.0,0.0,0.5,156.0,0.0,12.516666666666666,0.0
3051026-rj26,0.0,41.5,0.0,0.0,0.0,0.0,81.0,0.0,63.61666666666665,0.0
3072026-rj76,3.0,32.0,0.0,0.0,0.0,3.0,76.66666666666667,0.0,71.1,0.0
1011003-ct3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.3416666666667,0.0
3051031-rj31,0.6666666666666666,1.0,0.0,0.0,0.0,0.6666666666666666,102.5,8.0,55.53333333333334,10.0
3072032-rj82,0.0,38.0,0.0,0.0,0.0,0.0,38.0,0.0,94.56666666666668,0.0
2031008-mz8,0.0,3.0,0.0,0.0,0.0,0.0,116.5,0.0,50.883333333333326,0.0
-ct31,38.0,0.5,0.0,0.0,0.0,40.333333333333336,67.23809523809524,9.666666666666666,0.0,14.5
3072028-rj78,0.0,0.0,0.0,0.0,0.0,0.0,162.66666666666666,0.0,0.0,0.0
3051047-rj47,0.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,7.050000000000001,0.0
4202034-tg234,8.571428571428571,0.0,0.0,17.0,6.4,6.888888888888889,27.375,31.25,0.0,62.25
3051049-rj49,0.0,46.2,34.0,48.0,0.0,0.0,2.0,0.0,24.033333333333335,0.0
1011019-ct19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.07000000000002,0.0
4231036-tg136,2.5,14.75,0.0,0.0,5.0,1.625,44.5,4.666666666666667,47.56049382716049,26.5
3072030-rj80,34.0,18.0,0.0,0.0,34.0,34.0,5.0,0.0,20.338888888888885,0.0
3051022-rj22,0.0,7.75,0.0,0.0,0.0,0.0,0.0,0.0,135.70416666666668,0.0
3072035-rj85,0.0,0.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0
3072041-rj91,0.0,0.0,0.0,0.0,0.0,0.0,139.33333333333334,0.0,0.0,0.0
4122100-tg300,4.461538461538462,6.166666666666667,0.0,0.0,3.888888888888889,11.25,5.166666666666667,6.0,75.0,21.5
3072031-rj81,52.0,3.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0
3072044-rj94,0.0,0.0,0.0,0.0,0.0,0.0,116.5,9.0,0.0,4.0
1011022-ct22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.76904761904763,0.0
3072027-rj77,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,77.00416666666668,0.0
3072046-rj96,14.0,0.0,0.0,0.0,40.0,69.0,0.0,0.0,0.0,0.0
3072008-rj58,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0
3051024-rj24,45.0,0.0,0.0,0.0,30.0,31.0,0.0,0.0,0.0,0.0
3051002-rj2,0.0,19.75,0.0,53.0,0.0,0.0,29.0,0.0,0.0,0.0
2031014-mz14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.14444444444443,0.0
2031005-mz5,20.0,3.0,0.0,0.0,20.0,23.0,20.0,0.0,12.308333333333332,0.0
4141008-tg108,39.0,0.0,0.0,0.0,39.0,10.0,0.0,9.0,0.0,0.0
-ct33,0.0,11.0,0.0,0.0,0.0,6.0,54.0625,0.0,17.3125,0.0
3072002-rj52,0.0,37.75,0.0,16.5,0.0,0.0,24.0,0.0,0.0,7.0
4192081-tg281,17.0,3.0,0.0,0.0,0.0,16.5,16.833333333333332,31.0,0.0,0.0
3051015-rj15,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3051030-rj30,0.0,0.0,0.0,0.0,0.0,0.0,74.33333333333333,0.0,0.0,0.0
