school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
4231036-tg136,6,12,3,6,23,6,47,7,1,1
4122100-tg300,4,24,15,4,15,20,14,9,0,0
4202034-tg234,4,12,5,12,17,10,0,3,0,2
4152031-tg231,1,6,5,3,9,4,12,13,0,0
4141045-tg145,3,8,0,0,11,8,2,10,0,9
-ct31,3,3,1,8,22,1,0,4,0,0
1011009-ct9,0,0,0,0,2,0,36,0,0,0
4183023-tg23,4,3,2,2,8,3,5,6,3,2
4221040-tg140,1,2,2,8,11,4,0,6,2,0
4231029-tg129,0,7,2,0,11,3,1,10,0,1
1011018-ct18,0,4,3,0,3,2,12,4,0,1
1011001-ct1,0,4,5,0,4,3,4,8,0,0
1011020-ct20,0,0,1,0,2,1,22,0,0,0
4173074-tg74,4,3,1,2,2,2,3,4,1,1
-ct33,0,2,0,0,16,0,4,1,0,0
3051031-rj31,1,3,0,1,6,3,2,3,0,0
1011019-ct19,0,0,0,0,1,1,17,0,0,0
3051032-rj32,1,0,0,0,11,2,0,2,0,0
4152001-tg201,1,3,2,0,1,2,2,2,0,1
4152015-tg215,0,0,2,0,2,3,0,4,1,1
3072023-rj73,0,1,0,0,3,0,4,4,0,1
4141008-tg108,1,5,3,0,1,3,0,0,0,0
4173075-tg75,0,5,1,0,1,3,0,3,0,0
4141009-tg109,0,1,0,0,1,1,10,0,0,0
4192081-tg281,1,2,0,0,6,2,0,1,0,0
3051036-rj36,0,2,2,0,1,1,0,2,1,2
3051001-rj1,0,2,0,0,4,1,0,4,0,0
4221067-tg167,2,0,0,1,5,0,0,3,0,0
3051006-rj6,0,0,0,0,2,0,1,5,1,1
4202083-tg283,1,3,1,0,2,1,0,2,0,0
3051049-rj49,0,1,0,0,1,0,1,5,1,1
1011024-ct24,0,0,0,0,1,0,9,0,0,0
3072030-rj80,0,1,1,0,1,1,3,2,0,0
4213025-tg25,0,1,0,0,3,0,4,1,0,0
3051022-rj22,0,1,0,0,0,0,4,4,0,0
-ct32,0,0,0,0,0,0,9,0,0,0
4202004-tg204,0,2,1,0,1,3,0,2,0,0
3051026-rj26,0,0,0,0,5,0,2,2,0,0
3072024-rj74,0,1,0,0,1,0,4,3,0,0
3072002-rj52,0,0,0,1,2,0,0,4,0,2
2031030-mz30,0,0,1,0,1,1,5,0,0,0
4221074-tg174,0,2,0,0,3,1,0,2,0,0
1011011-ct11,0,0,0,0,2,0,6,0,0,0
3072026-rj76,0,1,0,0,3,1,1,1,0,0
3072040-rj90,0,0,0,0,6,1,0,0,0,0
4152012-tg212,0,3,1,0,0,1,0,2,0,0
1011022-ct22,0,0,0,0,0,0,7,0,0,0
2031005-mz5,0,1,1,0,1,1,2,1,0,0
3072027-rj77,0,0,0,0,1,0,4,1,0,0
3072032-rj82,0,1,0,0,1,1,1,2,0,0
