school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
4231036-tg136,5,13,4,8,45,6,61,9,2,4
4122100-tg300,9,39,20,7,17,22,10,10,0,0
4183023-tg23,9,8,2,7,19,11,9,25,6,3
4152031-tg231,1,15,6,3,20,6,11,27,0,0
1011009-ct9,0,0,0,0,2,0,84,0,0,0
4202034-tg234,8,16,7,8,26,12,0,1,0,2
1011018-ct18,0,7,8,0,10,5,40,6,0,1
3051006-rj6,0,0,0,0,16,0,4,39,12,2
3072026-rj76,0,3,0,0,20,2,24,10,0,0
1011024-ct24,0,0,0,0,3,0,55,0,0,0
3072023-rj73,0,1,0,0,7,0,26,18,0,2
3072028-rj78,0,0,0,0,48,0,0,2,0,0
3072032-rj82,0,1,0,0,17,1,21,10,0,0
1011001-ct1,0,9,8,0,6,7,7,12,0,0
1011011-ct11,0,0,0,0,14,0,32,0,0,0
4173074-tg74,6,4,1,4,4,2,10,9,1,3
1011019-ct19,0,0,0,0,1,1,42,0,0,0
3051025-rj25,0,0,0,0,17,0,26,0,0,0
4221040-tg140,1,2,2,13,15,4,0,3,2,0
3051031-rj31,2,2,0,1,21,2,11,2,0,0
1011020-ct20,0,0,1,0,1,1,38,0,0,0
2031030-mz30,0,0,2,0,2,2,35,0,0,0
3051026-rj26,0,0,0,0,18,0,12,11,0,0
3051049-rj49,0,2,0,0,2,0,6,23,3,2
-ct33,0,2,0,0,28,0,6,1,0,0
3051032-rj32,2,0,0,0,31,2,0,2,0,0
3072040-rj90,0,0,0,0,35,1,0,0,0,0
3072024-rj74,0,1,0,0,20,0,7,7,0,0
4152015-tg215,0,0,4,0,5,5,0,17,1,3
2031014-mz14,0,0,0,0,0,0,34,0,0,0
3051024-rj24,0,16,4,0,0,14,0,0,0,0
1011022-ct22,0,0,0,0,0,0,33,0,0,0
3072002-rj52,0,0,0,1,8,0,0,17,0,6
3051036-rj36,0,5,4,0,1,5,0,7,6,3
3051022-rj22,0,3,0,0,0,0,12,16,0,0
3072029-rj79,0,0,0,0,28,0,2,0,0,0
2031011-mz11,2,0,0,0,0,0,27,0,0,0
4231029-tg129,0,6,2,0,8,3,1,8,0,1
4192081-tg281,7,4,0,0,14,3,0,1,0,0
3072046-rj96,0,17,5,0,3,3,0,0,0,0
3072008-rj58,0,0,0,0,27,0,0,0,0,0
2031008-mz8,0,0,0,0,12,0,12,3,0,0
3072050-rj100,0,6,0,0,11,0,8,0,0,2
3051013-rj13,0,0,0,0,21,0,5,0,0,0
3072044-rj94,3,0,0,3,19,0,0,0,0,0
-ct32,0,0,0,0,0,0,25,0,0,0
3072031-rj81,0,14,0,0,0,8,0,2,0,0
4141045-tg145,1,7,0,0,1,1,5,4,0,5
3072018-rj68,0,0,0,0,23,0,0,0,0,0
4231084-tg184,0,9,7,0,0,7,0,0,0,0
