school_server_code,AstRoamer_Element_Hunt_Activity,Astroamer_Moon_Track,Astroamer_Planet_Trek_Activity,Food_sharing_tool,Ice,Ration Patterns,ages_puzzle,coins_puzzle,factorisation,policesquad
4122100-tg300,4.0,0.0,0.0,9.0,2.0,5.0,18.0,17.0,36.0,8.0
1011009-ct9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,82.0
1011018-ct18,4.0,0.0,0.0,9.0,0.0,0.0,5.0,7.0,7.0,39.0
4231036-tg136,4.0,0.0,0.0,13.0,3.0,3.0,2.0,0.0,7.0,32.0
4202034-tg234,0.0,0.0,0.0,25.0,7.0,6.0,9.0,6.0,10.0,0.0
1011024-ct24,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,55.0
3072026-rj76,10.0,0.0,0.0,19.0,0.0,0.0,2.0,0.0,3.0,24.0
3072023-rj73,17.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0,26.0
3051006-rj6,33.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
4192081-tg281,5.0,0.0,0.0,22.0,9.0,0.0,5.0,2.0,6.0,0.0
3072028-rj78,2.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
3072032-rj82,10.0,0.0,0.0,16.0,0.0,0.0,1.0,0.0,1.0,21.0
1011001-ct1,11.0,0.0,0.0,5.0,0.0,3.0,7.0,7.0,8.0,6.0
1011011-ct11,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,31.0
1011019-ct19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0
3051025-rj25,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,25.0
3051026-rj26,11.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,11.0
3051031-rj31,2.0,0.0,0.0,20.0,2.0,1.0,2.0,0.0,2.0,10.0
1011020-ct20,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0
3051049-rj49,22.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0
3051032-rj32,2.0,0.0,0.0,30.0,2.0,0.0,1.0,0.0,0.0,0.0
3051024-rj24,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,16.0,0.0
2031014-mz14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
-ct33,1.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,1.0,5.0
1011022-ct22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
3072002-rj52,16.0,0.0,6.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0
3072024-rj74,6.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,6.0
2031008-mz8,3.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,14.0
3072029-rj79,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,2.0
3051022-rj22,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0
2031011-mz11,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,26.0
3072050-rj100,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,6.0,8.0
3072008-rj58,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
3072046-rj96,0.0,0.0,0.0,3.0,0.0,0.0,3.0,4.0,16.0,0.0
3051013-rj13,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,5.0
3051036-rj36,6.0,5.0,2.0,0.0,0.0,0.0,4.0,3.0,4.0,0.0
-ct32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
3072031-rj81,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,14.0,0.0
3072044-rj94,0.0,0.0,0.0,18.0,3.0,3.0,0.0,0.0,0.0,0.0
4231084-tg184,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,8.0,0.0
3072018-rj68,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
3072006-rj56,2.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0
3072027-rj77,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,8.0
4202004-tg204,5.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,0.0
3051030-rj30,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
3072035-rj85,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
3072043-rj93,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0
3051002-rj2,14.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3051011-rj11,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3051001-rj1,4.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,2.0,0.0
