school_server_code,AstRoamer_Element_Hunt_Activity,Astroamer_Moon_Track,Astroamer_Planet_Trek_Activity,Food_sharing_tool,Ice,Ration Patters,ages_puzzle,coins_puzzle,factorisation,policesquad,Ration Patterns
1011024-ct24,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,16.7,0.0
1011011-ct11,0.0,0.0,0.0,1.625,0.0,0.0,0.0,0.0,0.0,14.375,0.0
1011022-ct22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.428571428571429,0.0
1011009-ct9,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,8.806451612903226,0.0
1011019-ct19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
-ct32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.714285714285714,0.0
1011001-ct1,1.5555555555555556,0.0,0.0,0.5555555555555556,0.0,0.0,0.6363636363636364,0.5833333333333334,0.6666666666666666,0.6,1.5
1011003-ct3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
1011020-ct20,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,5.444444444444445,0.0
1011018-ct18,0.29411764705882354,0.0,0.0,0.5294117647058824,0.0,0.0,0.29411764705882354,0.35,0.38095238095238093,3.235294117647059,0.0
1011014-ct14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
1011017-ct17,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-ct33,0.0625,0.0,0.0,2.6875,0.0,0.0,0.0,0.0,0.058823529411764705,0.4444444444444444,0.0
1011006-ct6,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-ct31,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1011005-ct5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
1011010-ct10,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1011016-ct16,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
1011013-ct13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1011004-ct4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
-ct34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
