school_server_code,Server on Without Activity,Tools only Activity,Modules only Activity,Tools with Modules Activity
1011001-ct1,21,1,31,9
1011009-ct9,0,9,24,27
1011019-ct19,1,5,21,14
1011018-ct18,1,8,15,12
1011020-ct20,11,5,8,11
-ct34,2,0,29,3
1011004-ct4,7,2,25,0
1011011-ct11,3,1,20,8
-ct31,18,1,8,5
1011014-ct14,4,1,23,1
1011026-ct26,18,0,7,0
1011017-ct17,6,0,17,2
-ct32,6,3,9,5
1011022-ct22,1,1,12,8
1011013-ct13,16,0,5,1
-ct33,3,2,3,13
1011007-ct7,9,0,10,1
1011024-ct24,3,1,7,9
1011006-ct6,3,0,13,4
1011028-ct28,6,2,10,1
1011005-ct5,1,1,17,0
1011010-ct10,5,0,8,2
1011016-ct16,4,1,6,2
1011003-ct3,3,0,4,3
1011008-ct8,2,0,2,0
