school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values
-ct34,25,21,13,5,5,4,12,15,19,21,12,10,10
1011009-ct9,22,8,35,16,1,9,2,7,5,4,11,2,1
1011001-ct1,17,17,11,1,3,4,18,6,15,15,10,3,2
1011019-ct19,4,7,21,6,1,1,14,11,12,5,6,7,3
1011018-ct18,10,8,14,7,2,6,8,8,5,4,8,5,0
-ct31,8,7,2,3,2,10,6,2,4,6,5,3,4
1011006-ct6,7,7,4,1,0,2,8,4,9,8,6,5,1
1011014-ct14,12,11,6,3,2,0,9,7,2,2,4,1,0
1011020-ct20,9,6,16,7,0,2,3,4,2,4,2,1,1
-ct33,11,5,5,6,2,13,5,1,2,4,0,1,0
1011004-ct4,24,11,2,1,1,0,1,1,8,2,1,0,0
1011022-ct22,4,1,14,5,2,1,7,2,5,4,2,2,2
1011007-ct7,7,7,1,1,3,2,11,2,5,4,3,1,3
1011016-ct16,6,3,8,6,5,2,3,2,3,3,2,2,2
1011011-ct11,18,2,12,5,1,2,1,1,1,1,0,0,0
1011028-ct28,9,7,3,1,1,3,3,3,5,3,3,0,1
1011017-ct17,2,3,1,1,1,1,7,6,8,3,3,3,1
1011005-ct5,15,6,2,1,1,0,1,2,3,3,1,1,0
1011024-ct24,1,1,15,6,1,1,1,1,1,1,0,0,0
1011010-ct10,2,3,4,2,1,1,2,2,6,3,0,1,1
1011013-ct13,1,1,6,4,2,0,4,1,2,4,0,0,1
-ct32,6,1,11,2,1,1,1,1,1,1,0,0,0
1011026-ct26,2,1,2,1,1,0,3,1,2,4,0,0,0
1011008-ct8,2,2,1,1,1,0,1,1,1,2,0,0,0
1011003-ct3,0,0,6,2,0,0,0,0,0,0,1,0,0
