school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values
22130317007,35,25,67,10,12,13,41,25,22,17,37,28,0
22130316902,8,12,68,7,2,3,47,38,60,11,45,23,6
22133016605,45,29,23,2,10,12,74,29,48,40,13,3,2
22133002806,77,13,94,29,2,11,2,5,8,9,45,1,1
22130304204,41,34,24,10,5,5,18,21,28,31,20,26,12
22130305303,36,27,4,2,8,8,53,2,8,17,9,4,9
22130310608,36,17,35,6,3,0,34,20,7,4,9,1,0
22130304104,21,5,45,9,3,3,26,2,27,11,13,3,3
22130305808,6,7,4,2,2,1,28,27,28,12,12,9,1
22133011915,20,11,14,2,0,5,14,14,18,15,9,8,1
22130306805,32,12,8,15,3,27,11,1,5,14,0,1,0
22133004806,39,6,48,8,2,15,1,1,4,3,0,0,0
22133002510,67,19,6,2,2,0,1,1,7,4,1,0,0
22130302001,5,5,68,11,2,3,1,1,4,3,0,0,0
22133014803,15,11,6,5,3,14,8,3,6,11,8,6,4
22133015205,44,21,5,2,2,0,1,4,7,11,1,1,0
22130300805,23,9,21,9,5,2,4,2,8,6,4,2,2
22133008706,22,5,47,3,2,1,1,1,4,3,0,0,0
22130304904,20,5,42,6,0,1,3,2,2,3,1,1,1
22130315705,20,22,6,2,2,3,3,3,8,5,4,0,1
22133003507,6,7,12,3,2,1,3,2,18,10,0,1,1
22133000903,0,0,56,2,0,0,0,0,0,0,1,0,0
22133011604,5,5,14,8,3,0,5,1,5,7,0,0,1
22133004118,20,6,4,2,2,0,1,1,4,5,0,0,0
22130303205,6,5,6,2,2,0,3,1,5,13,0,0,0
