school_server_code,AstRoamer_Element_Hunt_Activity,Food_sharing_tool,Ice,Ration Patterns,ages_puzzle,coins_puzzle,factorisation,policesquad
1011009-ct9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0
1011018-ct18,3.0,2.0,0.0,0.0,2.0,3.0,4.0,10.0
1011001-ct1,4.0,2.0,0.0,2.0,3.0,3.0,3.0,3.0
-ct33,1.0,13.0,0.0,0.0,0.0,0.0,1.0,4.0
1011020-ct20,0.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0
1011019-ct19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
1011024-ct24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0
1011011-ct11,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0
-ct32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
1011022-ct22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
-ct31,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
1011006-ct6,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1011003-ct3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1011014-ct14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1011016-ct16,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1011017-ct17,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1011004-ct4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
-ct34,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1011010-ct10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1011013-ct13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1011005-ct5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
