school_server_code,AstRoamer_Element_Hunt_Activity,Food_sharing_tool,Ice,Ration Patterns,ages_puzzle,coins_puzzle,factorisation,policesquad
1011001-ct1,2.7630952380952385,77.31,0.0,33.63888888888889,10.026190476190477,12.333333333333332,16.891666666666666,14.31111111111111
1011018-ct18,5.053333333333333,23.146296296296295,0.0,0.0,11.95,8.90952380952381,11.252083333333333,9.6
1011011-ct11,0.0,28.37692307692308,0.0,0.0,0.0,0.0,0.0,27.359855072463763
1011024-ct24,0.0,19.583333333333332,0.0,0.0,0.0,0.0,0.0,28.083333333333336
-ct33,11.716666666666667,17.01279069767442,0.0,0.0,0.0,0.0,1.2,8.477083333333333
1011009-ct9,0.0,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,36.29676434676435
1011019-ct19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.98303571428572
1011020-ct20,0.0,0.39166666666666666,0.0,0.0,0.0,0.0,0.0,33.717346938775506
1011003-ct3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.384259259259256
1011006-ct6,15.845833333333331,2.1166666666666667,0.0,0.0,0.0,0.0,0.0,0.0
1011022-ct22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.213541666666668
-ct32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.264184397163122
-ct31,0.0,13.540277777777776,0.0,0.0,0.0,0.0,0.0,0.0
1011016-ct16,0.0,8.15,0.0,0.0,0.0,0.0,0.0,0.0
1011013-ct13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.683333333333334
1011014-ct14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.723333333333334
1011017-ct17,1.7518518518518518,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1011004-ct4,0.0,0.0,1.6583333333333332,0.0,0.0,0.0,0.0,0.0
1011010-ct10,0.075,1.5,0.0,0.0,0.0,0.0,0.0,0.0
-ct34,0.9916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1011005-ct5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
