school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
22133014803,3,3,1,8,22,1,0,4,0,0
22133002806,0,0,0,0,2,0,36,0,0,0
22130317007,0,4,3,0,3,2,12,4,0,1
22133016605,0,4,5,0,4,3,4,8,0,0
22130304904,0,0,1,0,2,1,22,0,0,0
22130306805,0,2,0,0,16,0,4,1,0,0
22130316902,0,0,0,0,1,1,17,0,0,0
22130302001,0,0,0,0,1,0,9,0,0,0
22133008706,0,0,0,0,0,0,9,0,0,0
22133004806,0,0,0,0,2,0,6,0,0,0
22130304104,0,0,0,0,0,0,7,0,0,0
22130315705,0,3,1,0,1,1,0,0,0,0
22130300805,0,1,0,0,1,1,2,0,0,0
22130304204,0,0,0,0,1,1,0,2,1,0
22133011915,0,0,0,0,1,0,0,3,0,0
22133000903,0,0,0,0,0,0,4,0,0,0
22130310608,0,0,1,0,0,0,2,0,0,0
22130305808,0,0,0,0,0,0,1,2,0,0
22130303205,0,0,0,0,0,0,0,3,0,0
22133003507,0,1,0,0,1,0,0,1,0,0
22133011604,0,1,0,0,0,0,1,0,0,0
22133002510,2,0,0,0,0,0,0,0,0,0
22133004118,0,0,0,0,0,0,0,1,0,0
22130305303,0,0,0,0,1,0,0,0,0,0
22133015205,0,1,0,0,0,0,0,0,0,0
