school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
22133002806,0,0,0,0,2,0,84,0,0,0
22130317007,0,7,8,0,10,5,40,6,0,1
22130302001,0,0,0,0,3,0,55,0,0,0
22133016605,0,9,8,0,6,7,7,12,0,0
22133004806,0,0,0,0,14,0,32,0,0,0
22130316902,0,0,0,0,1,1,42,0,0,0
22130304904,0,0,1,0,1,1,38,0,0,0
22130306805,0,2,0,0,28,0,6,1,0,0
22130304104,0,0,0,0,0,0,33,0,0,0
22133008706,0,0,0,0,0,0,25,0,0,0
22133014803,1,1,2,1,10,1,0,2,0,0
22133000903,0,0,0,0,0,0,16,0,0,0
22130305808,0,0,0,0,0,0,1,10,0,0
22130310608,0,0,1,0,0,0,10,0,0,0
22133011915,0,0,0,0,4,0,0,6,0,0
22130304204,0,0,0,0,1,1,0,2,5,0
22130315705,0,3,1,0,1,1,0,0,0,0
22130300805,0,1,0,0,1,1,3,0,0,0
22130305303,0,0,0,0,5,0,0,0,0,0
22133003507,0,1,0,0,1,0,0,2,0,0
22133011604,0,1,0,0,0,0,1,0,0,0
22133015205,0,2,0,0,0,0,0,0,0,0
22133002510,2,0,0,0,0,0,0,0,0,0
22133004118,0,0,0,0,0,0,0,1,0,0
22130303205,0,0,0,0,0,0,0,1,0,0
