school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values
2031017-mz17,9,6,2,2,3,1,5,1,1,1,0,0,0
2031007-mz7,6,3,6,3,1,2,3,1,2,2,0,1,0
2031020-mz20,8,0,8,0,1,0,2,1,1,2,0,2,0
2031030-mz30,4,2,5,2,1,1,1,1,1,0,3,1,0
2031027-mz27,6,0,3,1,0,0,3,2,0,0,0,1,1
2031022-mz22,1,1,2,1,1,0,1,2,1,1,0,0,0
2031010-mz10,1,1,1,1,1,0,1,1,1,1,0,0,0
2031004-mz4,2,1,1,0,0,1,1,0,0,0,0,0,0
2031008-mz8,4,0,0,0,0,2,0,0,0,0,0,0,0
2031005-mz5,0,0,3,1,0,0,1,0,0,0,0,0,0
2031028-mz28,1,0,1,1,0,1,1,0,0,0,0,0,0
