school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values
2031030-mz30,69,2,41,3,2,2,1,6,1,0,31,1,0
2031017-mz17,31,38,23,3,4,2,41,1,4,3,0,0,0
2031020-mz20,25,0,27,0,3,0,23,2,2,4,0,15,0
2031022-mz22,5,5,40,2,2,0,1,19,4,3,0,0,0
2031007-mz7,11,7,11,4,2,2,3,1,5,4,0,1,0
2031027-mz27,14,0,11,9,0,0,13,1,0,0,0,1,1
2031005-mz5,0,0,37,1,0,0,1,0,0,0,0,0,0
2031008-mz8,24,0,0,0,0,15,0,0,0,0,0,0,0
2031010-mz10,5,5,4,2,2,0,1,1,4,3,0,0,0
2031004-mz4,3,1,2,0,0,1,1,0,0,0,0,0,0
2031028-mz28,2,0,1,1,0,1,1,0,0,0,0,0,0
