school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
2031016-mz16,0.0,67.0,67.0,0.0,67.0,67.0,1.7833333333333332,0.0,0.0,0.0
2031008-mz8,0.0,0.0,0.0,0.0,152.0,0.0,25.083333333333336,9.0,0.0,0.0
2031005-mz5,0.0,23.0,20.0,0.0,20.0,20.0,3.35,3.0,0.0,0.0
2031030-mz30,0.0,0.0,4.409448818897638,0.0,4.409448818897638,4.409448818897638,46.314370078740154,0.0,0.0,0.0
2031011-mz11,4.6875,0.0,0.0,0.0,0.0,0.0,51.34010416666666,0.0,0.0,0.0
2031014-mz14,0.0,0.0,0.0,0.0,0.0,0.0,36.847716346153845,0.0,0.0,0.0
2031027-mz27,0.0,0.0,0.0,0.0,0.0,0.0,25.711999999999996,0.0,0.0,0.0
2031017-mz17,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
2031004-mz4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
2031028-mz28,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2031007-mz7,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.7355555555555556,0.0,0.0,0.0
