school_server_code,Server on Without Activity,Tools only Activity,Modules only Activity,Tools with Modules Activity
3051010-rj10,34,1,12,1
3051001-rj1,12,0,19,5
3051032-rj32,0,6,9,11
3072042-rj92,16,0,9,0
3072031-rj81,9,0,13,3
3072043-rj93,20,0,3,2
3051025-rj25,13,0,5,5
3072012-rj62,11,1,9,0
3051036-rj36,8,0,9,4
3051031-rj31,2,4,9,5
3072026-rj76,5,0,9,5
3072023-rj73,0,1,8,10
3072029-rj79,14,0,2,2
3072030-rj80,3,0,10,4
3072003-rj53,8,0,9,0
3051041-rj41,10,1,5,0
3051018-rj18,3,0,11,2
3072032-rj82,6,0,5,4
3051006-rj6,2,0,7,6
3051026-rj26,1,0,7,6
3051049-rj49,3,2,3,6
3072002-rj52,2,0,9,3
3072024-rj74,4,0,5,4
3051013-rj13,6,0,4,3
3051044-rj44,8,0,2,2
3072040-rj90,3,1,5,3
3051022-rj22,1,1,5,5
3072006-rj56,7,1,2,2
3051047-rj47,3,1,6,1
3051033-rj33,0,0,10,1
3072027-rj77,1,0,6,4
3051014-rj14,3,0,6,2
3072014-rj64,5,0,5,1
3072036-rj86,1,0,7,2
3072008-rj58,2,0,7,1
3051004-rj4,2,0,5,3
3072013-rj63,2,0,8,0
3051002-rj2,2,0,5,3
3051023-rj23,6,0,3,0
3072028-rj78,2,0,2,5
3072050-rj100,1,1,4,3
3072041-rj91,0,1,4,3
3051015-rj15,4,0,2,2
3072025-rj75,0,0,6,2
3051028-rj28,5,0,2,1
3072018-rj68,1,1,4,2
3051005-rj5,6,0,1,0
3051027-rj27,1,0,2,4
3072044-rj94,1,0,4,2
3051030-rj30,1,0,4,2
3072033-rj83,3,0,3,1
3072049-rj99,0,0,6,1
3072016-rj66,1,0,5,0
3072015-rj65,1,0,5,0
3072047-rj97,1,1,4,0
3072034-rj84,1,0,4,1
3051045-rj45,3,0,3,0
3072046-rj96,0,2,5,1
3072048-rj98,1,1,2,1
3051024-rj24,0,0,3,1
3051011-rj11,1,0,1,2
3051019-rj19,2,0,1,0
3072035-rj85,0,0,2,1
3051040-rj40,2,0,1,0
3072022-rj72,0,0,2,1
3072019-rj69,0,1,2,0
