school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values
3072036-rj86,0,0,1,3,0,0,20,8,20,26,3,14,0
3072023-rj73,0,0,24,5,1,0,4,0,0,34,0,0,0
3072044-rj94,0,0,2,0,0,8,8,29,0,2,17,0,0
3072050-rj100,0,0,17,16,4,1,8,11,0,8,0,0,0
3072014-rj64,0,0,8,0,0,0,0,20,0,4,19,11,0
3072032-rj82,0,0,17,1,1,0,1,0,3,28,3,0,0
3072015-rj65,0,0,1,0,0,0,14,18,0,7,14,0,0
3051032-rj32,0,0,19,0,2,5,0,0,0,19,0,8,0
3051022-rj22,0,0,22,6,0,0,0,0,10,15,0,0,0
3072002-rj52,0,0,20,0,0,0,0,0,0,27,0,0,0
3051006-rj6,0,0,1,0,0,2,6,0,11,19,2,5,0
3051018-rj18,11,0,7,2,4,2,0,14,0,2,0,2,0
3072026-rj76,0,0,13,0,3,3,0,0,3,18,3,0,0
3072013-rj63,1,0,0,0,0,0,2,5,0,2,12,15,4
3072016-rj66,0,0,0,0,0,0,0,13,0,2,0,25,0
3051001-rj1,0,0,5,0,0,1,1,12,0,10,4,0,0
3072046-rj96,0,0,0,0,16,0,0,0,14,2,0,0,0
3051025-rj25,2,0,8,15,1,0,0,0,0,4,0,0,0
3072025-rj75,0,0,14,0,0,0,0,0,0,16,0,0,0
3072040-rj90,0,0,13,0,0,1,0,0,0,0,13,0,0
3072028-rj78,0,0,0,0,0,6,4,0,0,3,11,0,0
3051013-rj13,0,0,21,0,0,1,2,0,0,0,0,0,0
3051024-rj24,6,0,0,0,18,0,0,0,0,0,0,0,0
3072024-rj74,0,0,4,0,0,0,0,0,0,19,0,0,0
3051049-rj49,0,0,9,1,1,1,2,0,0,3,0,3,0
3072031-rj81,0,0,0,0,14,0,0,0,1,2,1,0,0
3072027-rj77,0,0,6,6,0,0,0,0,3,3,0,0,0
3072043-rj93,0,0,13,0,0,0,1,0,0,3,0,0,0
3072008-rj58,0,0,0,0,0,0,8,0,0,2,4,0,0
3051014-rj14,0,0,0,0,4,5,0,0,0,2,2,0,0
3051010-rj10,0,0,1,3,2,1,0,0,0,2,0,1,0
3051033-rj33,0,0,0,0,0,0,0,0,0,2,7,0,0
3072006-rj56,0,0,0,0,0,0,0,0,0,9,0,0,0
3051023-rj23,0,0,0,0,0,0,5,0,0,3,0,0,0
3051026-rj26,2,0,0,0,0,2,0,0,0,4,0,0,0
3072048-rj98,0,0,4,0,0,1,0,0,0,2,0,0,0
3051047-rj47,0,2,3,0,0,0,0,0,0,2,0,0,0
3051036-rj36,0,0,0,0,3,0,0,2,0,2,0,0,0
3072042-rj92,0,0,4,0,0,0,0,0,0,2,0,0,0
3051031-rj31,0,0,0,0,0,3,0,0,0,3,0,0,0
3072030-rj80,0,0,1,0,1,0,0,0,0,3,0,0,0
3072049-rj99,0,0,0,0,0,0,0,0,0,5,0,0,0
3072012-rj62,0,0,0,0,0,0,0,0,0,2,2,0,0
3051030-rj30,0,0,0,0,0,0,2,0,0,2,0,0,0
3072033-rj83,2,0,0,0,0,0,0,0,0,2,0,0,0
3072022-rj72,0,0,0,0,0,0,0,2,0,2,0,0,0
3051011-rj11,0,0,0,0,0,0,0,0,0,4,0,0,0
3051015-rj15,0,0,0,0,0,0,0,0,0,4,0,0,0
3072029-rj79,1,0,0,0,0,0,0,0,0,2,0,0,0
3072019-rj69,0,0,0,0,0,0,0,0,0,3,0,0,0
