school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values
3051032-rj32,8,8,11,7,5,13,4,4,7,10,8,7,6
3051001-rj1,7,10,5,4,3,3,10,8,7,9,11,7,6
3072023-rj73,8,9,11,5,4,5,9,4,4,13,1,6,4
3051010-rj10,8,5,8,6,6,4,2,6,4,4,2,4,2
3051026-rj26,6,8,4,3,1,4,6,4,6,6,3,3,7
3072030-rj80,6,6,6,4,2,1,11,2,6,5,7,4,0
3072036-rj86,2,4,8,5,2,5,7,7,4,4,4,6,0
3051006-rj6,3,3,4,5,1,3,9,1,3,10,5,4,3
3051031-rj31,3,6,3,4,2,4,10,2,4,9,1,2,2
3072002-rj52,6,7,3,2,2,3,9,2,4,6,3,4,1
3051033-rj33,6,4,3,3,4,4,7,3,3,6,3,2,3
3072032-rj82,5,4,5,4,2,2,6,4,4,7,4,1,2
3072026-rj76,4,2,11,6,4,6,4,2,3,4,1,0,0
3072025-rj75,3,5,3,3,3,2,4,4,3,5,2,3,2
3072044-rj94,3,4,3,2,2,3,4,5,4,4,3,2,3
3051004-rj4,5,4,4,2,2,1,3,4,6,6,2,0,1
3072031-rj81,4,3,1,1,2,0,2,6,8,3,5,1,1
3072042-rj92,5,3,5,4,2,2,6,2,4,2,0,1,1
3051027-rj27,3,2,4,3,1,3,3,1,4,5,3,3,2
3072049-rj99,6,3,1,2,2,1,4,4,3,5,1,2,2
3051022-rj22,3,6,4,3,3,0,2,3,4,4,3,0,1
3051018-rj18,4,4,2,3,3,4,2,2,1,2,3,4,1
3051049-rj49,3,4,3,3,3,2,4,1,1,6,1,4,0
3072024-rj74,6,3,6,5,2,5,1,1,1,5,0,0,0
3051002-rj2,4,3,2,2,0,2,4,3,3,7,1,3,1
3072050-rj100,1,3,4,4,3,2,4,3,2,4,0,2,1
3072028-rj78,2,3,1,1,1,6,5,1,2,4,3,1,1
3072013-rj63,6,3,2,1,2,1,3,4,2,2,2,2,1
3051025-rj25,5,1,7,5,1,3,3,1,0,2,2,1,0
3051030-rj30,3,2,3,2,2,3,6,1,2,3,2,0,1
3072015-rj65,3,4,3,2,2,1,3,3,3,4,1,0,1
3072014-rj64,2,3,2,2,1,1,2,4,4,3,4,1,0
3051015-rj15,4,3,3,1,2,1,4,3,4,4,0,0,0
3072027-rj77,5,2,3,3,1,1,4,2,3,2,2,0,0
3051013-rj13,3,2,4,3,0,2,3,1,2,1,1,1,1
3051036-rj36,1,1,1,1,2,0,1,5,2,6,2,1,1
3072043-rj93,2,2,4,2,1,3,3,1,2,3,0,0,0
3072040-rj90,2,2,3,0,0,3,0,2,2,1,5,3,0
3072046-rj96,3,2,1,1,4,1,2,1,2,3,3,0,0
3051014-rj14,2,1,2,2,3,1,2,1,1,1,2,4,0
3051011-rj11,2,2,2,2,2,0,2,2,1,3,1,0,2
3072012-rj62,3,2,1,1,1,1,6,1,1,2,2,0,0
3072041-rj91,3,1,1,1,1,4,1,3,2,1,0,3,0
3051023-rj23,2,2,2,2,1,0,3,2,2,2,1,0,1
3051047-rj47,5,2,3,2,1,0,3,1,1,2,0,0,0
3072016-rj66,1,1,2,1,1,1,3,5,1,2,0,1,0
3072003-rj53,1,1,2,1,1,0,6,1,1,2,3,0,0
3072033-rj83,3,2,3,1,1,0,2,1,2,3,0,0,0
3072008-rj58,2,1,1,1,1,1,5,1,1,1,2,1,0
3051041-rj41,3,3,1,1,1,0,3,1,2,1,0,1,1
