school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values
3072036-rj86,6,18,41,19,6,20,61,84,52,47,26,38,0
3072023-rj73,36,28,56,37,7,16,37,4,30,63,1,11,7
3072026-rj76,53,6,66,35,16,23,13,14,33,23,24,0,0
3072032-rj82,32,10,50,6,3,14,32,8,37,50,9,5,7
3051032-rj32,13,21,34,18,7,30,11,5,20,29,21,25,23
3072002-rj52,23,16,33,6,3,14,53,3,10,46,23,10,5
3072030-rj80,44,17,25,8,3,2,58,2,49,9,14,6,0
3072044-rj94,9,19,29,4,6,28,15,40,11,18,30,3,8
3051001-rj1,11,14,20,5,4,18,27,27,13,23,35,11,7
3072042-rj92,54,13,48,7,3,2,41,2,38,4,0,1,1
3072013-rj63,25,13,12,2,4,13,7,33,17,8,27,37,14
3051006-rj6,8,8,17,7,2,13,39,1,26,47,13,19,4
3072024-rj74,54,7,46,13,3,24,1,1,4,40,0,0,0
3051033-rj33,31,12,12,5,5,5,34,6,23,19,29,4,6
3072040-rj90,21,6,19,0,0,36,0,25,17,3,31,28,0
3072043-rj93,36,8,40,14,2,7,26,1,35,13,0,0,0
3072050-rj100,6,8,28,19,8,10,31,14,23,18,0,16,1
3072015-rj65,28,16,20,4,3,3,33,23,7,22,18,0,1
3051022-rj22,15,30,33,13,7,0,2,6,32,27,5,0,3
3051026-rj26,24,23,10,16,1,22,12,9,8,17,11,5,10
3072025-rj75,17,15,23,4,4,4,20,8,12,29,8,10,11
3072028-rj78,6,8,4,2,2,49,21,1,5,10,36,17,1
3051013-rj13,13,10,36,20,0,21,17,3,5,4,4,11,4
3072008-rj58,7,5,4,2,2,27,40,1,4,3,45,3,0
3051004-rj4,36,15,16,4,4,1,6,6,26,18,4,0,1
3072014-rj64,10,10,17,7,2,2,3,22,9,13,21,19,0
3051030-rj30,45,9,7,3,4,21,31,1,5,5,3,0,1
3051002-rj2,11,13,2,4,0,6,31,10,12,29,5,6,5
3051049-rj49,8,20,13,5,12,7,18,1,1,29,3,17,0
3051025-rj25,26,1,23,32,2,18,6,1,0,14,2,2,0
3051031-rj31,9,13,10,10,3,22,19,2,8,20,2,3,3
3072029-rj79,20,5,4,2,2,33,37,1,4,3,0,0,0
3051010-rj10,20,10,11,10,9,4,4,9,6,8,3,12,2
3072031-rj81,16,9,4,2,16,0,3,4,34,6,11,1,1
3072003-rj53,5,5,7,2,2,0,52,1,4,5,24,0,0
3072016-rj66,5,5,5,2,2,1,9,28,4,20,0,25,0
3051015-rj15,18,9,7,2,3,1,26,3,7,25,0,0,0
3051018-rj18,20,4,13,8,7,8,2,14,4,3,7,7,1
3072049-rj99,15,13,4,6,3,2,7,4,10,14,7,3,7
3072027-rj77,15,8,11,8,2,11,13,2,9,4,12,0,0
3051011-rj11,6,10,7,4,6,0,4,10,4,36,2,0,4
3072041-rj91,19,5,4,2,2,15,1,17,5,3,0,20,0
3051027-rj27,8,2,15,6,2,7,12,1,6,19,3,7,2
3072034-rj84,30,5,4,2,2,11,1,27,4,3,0,0,0
3072018-rj68,17,6,4,2,2,24,1,1,4,9,16,0,0
3072046-rj96,17,6,4,2,19,1,4,1,19,5,6,0,0
3072012-rj62,22,6,4,2,2,1,17,1,4,4,17,0,0
3051047-rj47,25,15,11,4,2,0,13,1,4,4,0,0,0
3072006-rj56,5,5,4,2,2,17,1,1,4,17,20,0,0
3072033-rj83,28,7,25,2,2,0,2,1,5,6,0,0,0
