Sno,server_id,module_name,Generated_on,avg_percentage_activities_visited,total_comments_by_all_users,number_of_students
0,rj1,[u'English Beginner'],13 November 2018,4.27807486631016,0,11
1,rj1,[u'English Elementary'],13 November 2018,1.45502645502646,0,9
2,rj1,[u'Understanding Motion'],13 November 2018,15.6075808249721,0,13
3,rj10,[u'Atomic Structure'],26 November 2018,2.04081632653061,0,3
4,rj10,[u'Basic Astronomy'],26 November 2018,5.92592592592593,0,3
5,rj10,[u'Ecosystem'],26 November 2018,26.2820512820513,0,3
6,rj10,[u'English Beginner'],26 November 2018,8.76225490196078,0,9
7,rj10,[u'English Elementary'],26 November 2018,5.60897435897436,0,8
8,rj10,[u'Geometric Reasoning Part I'],26 November 2018,17.0127353266888,0,12
9,rj10,[u'Geometric Reasoning Part II'],26 November 2018,31.5686274509804,0,10
10,rj10,[u'Health and Disease'],26 November 2018,12.2549019607843,0,3
11,rj10,[u'Linear Equations'],26 November 2018,23.9495798319328,3,19
12,rj10,[u'Pre-CLIx Survey'],26 November 2018,15,0,16
13,rj10,[u'Proportional Reasoning'],26 November 2018,38.8067157861208,0,10
14,rj10,[u'Reflecting on Values'],26 November 2018,1.21951219512195,0,2
15,rj10,[u'Sound'],26 November 2018,2.08333333333333,0,6
16,rj10,[u'Understanding Motion'],26 November 2018,2.89855072463768,0,2
17,rj100,[u'Atomic Structure'],14 November 2018,35.1020408163265,0,30
18,rj100,[u'Basic Astronomy'],14 November 2018,37.4444444444444,0,20
19,rj100,[u'Ecosystem'],14 November 2018,17.5480769230769,0,16
20,rj100,[u'English Beginner'],14 November 2018,1.47058823529412,0,1
21,rj100,[u'English Elementary'],14 November 2018,0.793650793650794,0,3
22,rj100,[u'Geometric Reasoning Part I'],14 November 2018,65.6552810077519,0,48
23,rj100,[u'Geometric Reasoning Part II'],14 November 2018,52.5405861269239,0,31
24,rj100,[u'Linear Equations'],14 November 2018,65.3061224489796,0,7
25,rj100,[u'Post-CLIx Survey'],14 November 2018,25,0,2
26,rj100,[u'Pre-CLIx Survey'],14 November 2018,56.875,0,16
27,rj100,[u'Proportional Reasoning'],14 November 2018,31.5086569744955,0,14
28,rj100,[u'Reflecting on Values'],14 November 2018,1.21951219512195,0,1
29,rj100,[u'Sound'],14 November 2018,68.8186813186813,0,13
30,rj100,[u'Understanding Motion'],14 November 2018,25.7818459191457,0,19
31,rj13,[u'Atomic Structure'],27 November 2018,29.8919567827131,0,17
32,rj13,[u'Basic Astronomy'],27 November 2018,6.66666666666667,0,4
33,rj13,[u'Ecosystem'],27 November 2018,3.32167832167832,0,11
34,rj13,[u'English Beginner'],27 November 2018,1.49739583333333,0,12
35,rj13,[u'English Elementary'],27 November 2018,1.19047619047619,0,6
36,rj13,[u'Geometric Reasoning Part I'],27 November 2018,47.2799003322259,4,62
37,rj13,[u'Geometric Reasoning Part II'],27 November 2018,11.0326797385621,0,25
38,rj13,[u'Health and Disease'],27 November 2018,1.47058823529412,0,4
39,rj13,[u'Post-CLIx Survey'],27 November 2018,95,0,2
40,rj13,[u'Pre-CLIx Survey'],27 November 2018,88,0,50
41,rj13,[u'Proportional Reasoning'],27 November 2018,14.7157190635451,0,23
42,rj13,[u'Reflecting on Values'],27 November 2018,12.5,0,4
43,rj13,[u'Sound'],27 November 2018,3.57142857142857,0,3
44,rj13,[u'Understanding Motion'],27 November 2018,0.966183574879227,0,3
45,rj15,[u'Atomic Structure'],26 November 2018,4.08163265306123,0,25
46,rj15,[u'Basic Astronomy'],26 November 2018,30.4634920634921,0,25
47,rj15,[u'English Beginner'],26 November 2018,4.63800904977376,0,13
48,rj15,[u'English Elementary'],26 November 2018,2.38095238095238,0,4
49,rj15,[u'Geometric Reasoning Part I'],26 November 2018,9.52380952380952,0,3
50,rj15,[u'Linear Equations'],26 November 2018,0,0,1
51,rj15,[u'Post-CLIx Survey'],26 November 2018,0,0,1
