school_server_code,Server on Without Activity,Tools only Activity,Modules only Activity,Tools with Modules Activity
-tg100,195,0,5,0
4122100-tg300,0,29,70,21
4141008-tg108,75,5,19,3
4183052-tg52,91,0,1,0
4221074-tg174,66,0,8,1
4221040-tg140,29,9,21,9
4152031-tg231,4,7,38,19
4202034-tg234,2,15,25,12
4231029-tg129,9,13,26,5
4231050-tg150,43,0,1,0
4231084-tg184,20,1,20,3
4221095-tg195,18,0,9,0
4231058-tg158,17,0,1,0
4141009-tg109,0,2,7,8
4152038-tg238,12,0,3,0
4213025-tg25,9,0,1,4
4173075-tg75,4,1,7,2
4141090-tg190,11,0,1,0
4202004-tg204,2,2,6,2
4152015-tg215,1,1,7,2
4202032-tg232,4,0,7,0
4202003-tg203,7,2,2,0
4112043-tg243,5,0,4,0
4152013-tg213,0,0,8,0
4192099-tg299,2,0,5,0
4152030-tg230,5,0,2,0
4152035-tg235,0,0,4,2
4152041-tg241,0,1,4,0
4152092-tg292,1,0,4,0
4141012-tg112,4,0,1,0
4141035-tg135,4,0,1,0
4183032-tg32,3,0,1,0
4141092-tg192,0,0,1,0
