school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values
4122100-tg300,9,10,33,11,39,4,18,21,15,13,9,13,1
4152031-tg231,15,5,25,15,2,2,0,13,4,26,0,10,0
4152015-tg215,10,4,0,0,0,0,13,20,20,21,10,5,0
4202034-tg234,0,1,6,0,10,6,3,9,0,6,0,0,0
4231084-tg184,0,0,0,0,8,0,7,4,0,2,0,0,0
4221074-tg174,2,0,0,0,1,0,0,2,0,3,0,6,0
4202004-tg204,0,0,0,0,3,0,0,0,0,6,0,1,0
4141009-tg109,0,0,4,2,0,0,0,0,0,2,0,0,0
4231029-tg129,0,0,1,0,3,0,0,0,0,3,0,0,0
4221040-tg140,0,0,0,0,1,2,0,0,0,2,0,0,0
4141008-tg108,0,0,0,0,3,0,0,0,0,2,0,0,0
4152035-tg235,0,0,2,0,0,0,0,0,0,2,0,0,0
4231050-tg150,0,0,0,0,0,0,0,0,0,2,0,0,0
4221095-tg195,0,0,0,0,0,0,0,0,0,2,0,0,0
4192099-tg299,0,0,0,0,0,0,0,0,0,2,0,0,0
4231058-tg158,0,0,0,0,0,0,0,0,0,2,0,0,0
4213025-tg25,0,0,0,0,0,0,0,0,0,2,0,0,0
4202032-tg232,0,0,0,0,0,0,0,0,0,2,0,0,0
4202003-tg203,0,0,0,0,0,0,0,0,0,2,0,0,0
4152092-tg292,0,0,0,0,0,0,0,0,0,2,0,0,0
4183052-tg52,0,0,0,0,0,0,0,0,0,2,0,0,0
4183032-tg32,0,0,0,0,0,0,0,0,0,2,0,0,0
4112043-tg243,0,0,0,0,0,0,0,0,0,2,0,0,0
4152041-tg241,0,0,0,0,0,0,0,0,0,2,0,0,0
4152030-tg230,0,0,0,0,0,0,0,0,0,2,0,0,0
4152013-tg213,0,0,0,0,0,0,0,0,0,2,0,0,0
4141092-tg192,0,0,0,0,0,0,0,0,0,2,0,0,0
4141090-tg190,0,0,0,0,0,0,0,0,0,2,0,0,0
4141035-tg135,0,0,0,0,0,0,0,0,0,2,0,0,0
4141012-tg112,0,0,0,0,0,0,0,0,0,2,0,0,0
4173075-tg75,0,0,0,0,0,0,0,0,0,1,0,0,0
4152038-tg238,1,0,0,0,0,0,0,0,0,0,0,0,0
-tg100,0,0,0,0,0,0,0,0,0,0,0,0,0
