school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values
4122100-tg300,40,45,34,23,28,21,36,38,55,28,31,29,12
4152031-tg231,37,31,35,26,7,10,10,20,17,23,11,23,13
4202034-tg234,33,31,14,11,10,15,16,18,27,16,11,16,9
4231029-tg129,10,8,13,5,4,6,5,16,9,11,6,14,3
4141009-tg109,7,5,13,12,6,5,6,8,4,6,4,7,2
4141008-tg108,15,13,5,1,9,2,4,4,5,7,5,1,6
4221040-tg140,13,7,6,1,2,12,9,7,2,6,2,3,1
4152013-tg213,7,7,5,4,2,4,5,6,7,7,5,5,4
4152015-tg215,6,5,4,5,2,3,6,5,7,5,5,3,2
4202004-tg204,8,7,4,4,5,3,4,5,4,5,4,3,2
4231084-tg184,6,2,4,2,5,0,15,7,6,1,0,6,0
4221095-tg195,8,6,3,2,1,1,2,4,2,2,6,4,2
4221074-tg174,3,3,3,2,2,2,4,6,2,4,3,5,1
4152035-tg235,4,4,4,1,3,1,3,3,3,5,3,2,3
4202032-tg232,5,4,5,4,3,1,1,3,5,3,1,1,0
4173075-tg75,3,3,1,2,2,1,4,1,2,5,3,2,1
4213025-tg25,3,3,5,4,1,3,1,1,1,1,0,2,1
4192099-tg299,4,5,1,1,1,0,2,2,2,1,2,0,0
4152041-tg241,3,4,2,1,1,1,1,1,1,1,1,2,0
4152092-tg292,2,1,3,1,1,1,1,1,1,1,0,0,0
4112043-tg243,3,1,2,1,1,0,2,1,1,1,0,0,0
4202003-tg203,1,1,1,1,1,0,2,2,2,1,0,0,0
4152030-tg230,1,2,2,1,1,0,1,1,1,2,0,0,0
4183052-tg52,1,1,1,1,1,0,1,1,1,1,0,0,0
4183032-tg32,1,1,1,1,1,0,1,1,1,1,0,0,0
4141092-tg192,1,1,1,1,1,0,1,1,1,1,0,0,0
4141090-tg190,1,1,1,1,1,0,1,1,1,1,0,0,0
4141035-tg135,1,1,1,1,1,0,1,1,1,1,0,0,0
4141012-tg112,1,1,1,1,1,0,1,1,1,1,0,0,0
4231050-tg150,1,1,1,1,1,0,1,1,1,1,0,0,0
4231058-tg158,1,1,1,1,1,0,1,1,1,1,0,0,0
4152038-tg238,2,1,1,1,0,0,0,0,2,0,0,0,0
-tg100,1,0,1,0,0,0,0,0,0,0,1,3,1
