school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values
4202034-tg234,69,70,38,22,30,35,45,56,49,37,41,43,30
4122100-tg300,41,45,46,32,42,19,41,41,41,26,29,38,14
4152031-tg231,35,36,42,28,9,17,22,32,21,43,18,31,20
4152015-tg215,43,31,7,6,9,8,27,26,33,26,33,22,2
4141009-tg109,32,16,38,16,11,7,22,41,18,11,12,37,4
4202004-tg204,36,38,10,7,16,4,6,24,7,30,13,23,6
4231029-tg129,32,18,32,7,7,9,5,26,14,16,8,25,4
4221040-tg140,39,15,16,2,3,15,12,21,24,9,2,29,1
4152013-tg213,20,27,15,5,3,9,7,11,19,11,12,20,9
4141008-tg108,35,19,9,2,17,2,5,4,14,10,8,1,6
4231084-tg184,13,6,6,3,10,0,39,13,17,3,0,8,0
4221074-tg174,15,10,6,3,4,2,4,19,13,12,5,18,1
4152035-tg235,10,8,17,2,5,1,5,3,11,8,3,4,4
4202032-tg232,13,12,21,5,4,2,1,3,12,4,1,2,0
4221095-tg195,11,11,6,3,2,1,2,3,5,6,10,6,2
4192099-tg299,20,14,5,2,2,0,6,4,6,3,3,0,0
4213025-tg25,10,9,14,8,2,8,1,1,4,3,0,3,1
4152041-tg241,9,11,5,2,2,1,1,1,4,3,1,3,0
4173075-tg75,4,4,1,2,2,1,5,1,3,8,6,5,1
4202003-tg203,5,5,4,2,2,0,3,10,8,3,0,0,0
4152092-tg292,6,5,15,2,2,1,1,1,4,3,0,0,0
4112043-tg243,11,5,5,2,2,0,4,1,4,3,0,0,0
4152030-tg230,5,6,5,2,2,0,1,1,4,4,0,0,0
4183052-tg52,5,5,4,2,2,0,1,1,4,3,0,0,0
4183032-tg32,5,5,4,2,2,0,1,1,4,3,0,0,0
4141092-tg192,5,5,4,2,2,0,1,1,4,3,0,0,0
4141090-tg190,5,5,4,2,2,0,1,1,4,3,0,0,0
4141035-tg135,5,5,4,2,2,0,1,1,4,3,0,0,0
4141012-tg112,5,5,4,2,2,0,1,1,4,3,0,0,0
4231050-tg150,5,5,4,2,2,0,1,1,4,3,0,0,0
4231058-tg158,5,5,4,2,2,0,1,1,4,3,0,0,0
-tg100,6,0,4,0,0,0,0,0,0,0,1,8,1
4152038-tg238,10,2,4,1,0,0,0,0,1,0,0,0,0
