school_server_code,Atomic Structure,Basic Astronomy,Ecosystem,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Health and Disease,Linear Equations,Post-CLIx Survey,Pre-CLIx Survey,Proportional Reasoning,Reflecting on Values,Sound,Understanding Motion
tg234,21.0,20.0,23.0,58.0,58.0,23.0,11.0,29.0,22.0,12.0,13.0,26.0,25.0,40.0,42.0
tg300,38.0,22.0,33.0,27.0,36.0,40.0,22.0,28.0,40.0,6.0,14.0,16.0,14.0,38.0,35.0
tg136,10.0,13.0,6.0,38.0,42.0,49.0,30.0,16.0,13.0,0.0,6.0,13.0,12.0,7.0,10.0
tg231,5.0,8.0,17.0,26.0,25.0,37.0,19.0,9.0,5.0,0.0,3.0,11.0,15.0,27.0,13.0
tg204,5.0,27.0,23.0,31.0,33.0,6.0,5.0,13.0,14.0,3.0,11.0,4.0,6.0,23.0,3.0
tg272,18.0,14.0,14.0,29.0,19.0,41.0,9.0,13.0,2.0,0.0,6.0,9.0,2.0,10.0,17.0
tg213,6.0,8.0,20.0,15.0,22.0,10.0,3.0,12.0,1.0,4.0,8.0,9.0,9.0,10.0,15.0
tg210,8.0,5.0,4.0,28.0,19.0,5.0,0.0,3.0,4.0,1.0,32.0,8.0,4.0,4.0,4.0
tg283,10.0,16.0,10.0,22.0,16.0,4.0,2.0,10.0,6.0,1.0,7.0,4.0,2.0,4.0,14.0
tg108,4.0,7.0,1.0,30.0,14.0,5.0,0.0,8.0,14.0,1.0,6.0,2.0,6.0,3.0,3.0
tg184,38.0,0.0,8.0,8.0,1.0,2.0,1.0,0.0,8.0,0.0,2.0,0.0,0.0,10.0,13.0
tg212,16.0,6.0,4.0,10.0,11.0,5.0,1.0,2.0,1.0,0.0,17.0,1.0,1.0,9.0,5.0
tg74,0.0,0.0,1.0,33.0,6.0,5.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0
tg129,1.0,4.0,2.0,12.0,6.0,4.0,3.0,3.0,0.0,2.0,1.0,3.0,0.0,2.0,4.0
tg259,1.0,7.0,1.0,19.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,4.0,1.0,1.0,3.0
tg299,0.0,0.0,0.0,15.0,9.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,2.0
tg238,2.0,0.0,1.0,3.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
tg100,0.0,0.0,5.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tg292,0.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
tg145,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0
tg23,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
tg223,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
