school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
4231036-tg136,5,13,4,8,45,6,61,9,2,4
4122100-tg300,9,39,20,7,17,22,10,10,0,0
4183023-tg23,9,8,2,7,19,11,9,25,6,3
4152031-tg231,1,15,6,3,20,6,11,27,0,0
4202034-tg234,8,16,7,8,26,12,0,1,0,2
4173074-tg74,6,4,1,4,4,2,10,9,1,3
4221040-tg140,1,2,2,13,15,4,0,3,2,0
4152015-tg215,0,0,4,0,5,5,0,17,1,3
4231029-tg129,0,6,2,0,8,3,1,8,0,1
4192081-tg281,7,4,0,0,14,3,0,1,0,0
4141045-tg145,1,7,0,0,1,1,5,4,0,5
4213025-tg25,0,1,0,0,8,0,13,1,0,0
4231084-tg184,0,9,7,0,0,7,0,0,0,0
4141009-tg109,0,3,0,0,2,1,16,0,0,0
4202004-tg204,0,6,1,0,1,8,0,5,0,0
4221067-tg167,3,0,0,1,13,0,0,4,0,0
4152001-tg201,1,4,2,0,3,3,3,3,0,1
4231078-tg178,0,2,3,0,0,1,9,0,0,0
4141008-tg108,1,7,3,0,1,3,0,0,0,0
4202083-tg283,2,3,1,0,2,1,0,2,0,0
4173075-tg75,0,1,1,0,1,2,0,3,0,0
4152012-tg212,0,2,2,0,0,2,0,1,0,0
4202003-tg203,0,2,0,0,0,4,0,0,0,0
4221074-tg174,0,2,0,0,2,1,0,1,0,0
4152017-tg217,0,3,0,0,0,2,0,1,0,0
4202059-tg259,0,0,0,0,3,0,0,2,0,0
4231058-tg158,0,0,1,0,1,1,0,1,0,0
4231051-tg151,0,2,1,0,0,1,0,0,0,0
4231046-tg146,1,1,0,0,1,1,0,0,0,0
4141012-tg112,0,1,0,0,1,1,0,1,0,0
4152002-tg202,0,1,1,0,1,1,0,0,0,0
4221018-tg118,0,0,0,0,4,0,0,0,0,0
4202010-tg210,0,3,1,0,0,0,0,0,0,0
4231023-tg123,0,0,0,0,0,2,0,1,0,0
4152023-tg223,0,1,1,0,0,0,0,1,0,0
4152072-tg272,0,0,0,0,2,0,1,0,0,0
4152035-tg235,0,1,0,0,0,1,0,1,0,0
4221026-tg126,0,1,0,0,0,0,0,1,0,0
4221068-tg168,0,0,0,0,1,0,0,1,0,0
4231050-tg150,0,1,0,0,1,0,0,0,0,0
4152038-tg238,0,0,0,0,0,0,0,1,0,0
4202074-tg274,0,1,0,0,0,0,0,0,0,0
4231043-tg143,0,1,0,0,0,0,0,0,0,0
4152030-tg230,0,0,0,0,1,0,0,0,0,0
4152092-tg292,0,1,0,0,0,0,0,0,0,0
4152041-tg241,0,1,0,0,0,0,0,0,0,0
