school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
4183023-tg23,15.176957001102537,71.30760749724367,24.572216097023155,0.35887541345093715,89.26056596839399,131.37302462330024,196.57772877618524,204.63101800808528,26.338846012495406,11.563395810363836
4231084-tg184,0.0,44.05646630236795,122.30601092896175,0.0,0.0,122.30601092896175,0.0,0.0,0.0,0.0
4152001-tg201,11.975903614457831,38.71084337349398,37.63855421686747,0.0,128.3132530120482,38.9277108433735,5.833734939759037,0.42771084337349397,0.0,25.662650602409638
4122100-tg300,16.315265045834995,11.232325532843667,2.813770426464727,8.553009166998804,14.98764447987246,4.12318510505039,180.1369669190913,9.495682210708116,0.0,0.0
4173074-tg74,10.061427280939476,11.72628726287263,12.558265582655826,1.5149051490514904,69.96747967479675,0.06504065040650407,34.07802619692864,34.38572719060524,9.86720867208672,28.70460704607046
4152031-tg231,1.4849921011058451,64.8495260663507,7.7035281727224865,1.4849921011058451,74.7837019483939,11.941548183254344,6.732416732490787,6.361348077935755,0.0,0.0
4231036-tg136,2.960058214747736,24.259648555411815,17.69421086675291,5.3941623544631305,48.40923530257296,19.915588615782664,14.819413809831826,13.539133247089262,3.8285899094437257,11.166720569210867
4221067-tg167,42.07395498392283,0.0,0.0,2.922829581993569,112.29501607717042,0.0,0.0,0.0,0.0,0.0
4152015-tg215,0.0,0.0,19.420814479638008,0.0,45.86877828054298,19.420814479638008,0.0,46.990950226244344,3.9638009049773757,10.900452488687783
4192081-tg281,45.45185185185185,34.77037037037037,0.0,0.0,34.3962962962963,21.785185185185185,0.0,2.6222222222222222,0.0,0.0
4202034-tg234,42.1824288017195,9.722031166039763,15.613111230521225,11.535330467490596,41.48629768941429,15.246372917786136,0.0,0.0,0.0,1.9172487909725955
4221040-tg140,0.24719101123595505,4.522982635342186,9.208375893769151,20.892236976506638,38.272046305754166,6.193054136874362,0.0,10.670411985018726,0.7711950970377937,0.0
4221074-tg174,0.0,22.333333333333332,0.0,0.0,27.473333333333333,4.693333333333333,0.0,12.06,0.0,0.0
4231078-tg178,0.0,2.5,5.0,0.0,0.0,0.0,42.13333333333333,0.0,0.0,0.0
4141045-tg145,3.0579710144927534,1.9758454106280192,0.0,0.0,17.296296296296298,1.9758454106280192,0.744927536231884,1.2536231884057971,0.0,22.98148148148148
4202004-tg204,0.0,18.95394736842105,7.052631578947368,0.0,0.23684210526315788,4.99561403508772,0.0,14.986842105263158,0.0,0.0
4152012-tg212,0.0,12.017964071856287,16.15568862275449,0.0,0.0,16.15568862275449,0.0,0.017964071856287425,0.0,0.0
4173075-tg75,0.0,9.25,3.1037735849056602,0.0,0.0,21.066037735849058,0.0,3.849056603773585,0.0,0.0
4202059-tg259,0.0,0.0,0.0,0.0,32.0,0.0,0.0,4.75,0.0,0.0
4141008-tg108,1.5340909090909092,11.045454545454545,10.795454545454545,0.0,0.0,10.795454545454545,0.0,0.0,0.0,0.0
4202083-tg283,5.27027027027027,2.2162162162162162,7.72972972972973,0.0,2.3783783783783785,7.72972972972973,0.0,0.0,0.0,0.0
4141012-tg112,0.0,10.0,0.0,0.0,1.0,9.0,0.0,1.0,0.0,0.0
4213025-tg25,0.0,0.0,0.0,0.0,11.333333333333334,0.0,6.458333333333333,1.0,0.0,0.0
4231029-tg129,0.0,1.5597165991902835,1.7165991902834008,0.0,5.686909581646424,0.8016194331983806,0.9798920377867743,2.9392712550607283,0.0,4.809716599190283
4152023-tg223,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
4231046-tg146,3.5,4.5,0.0,0.0,0.5,4.5,0.0,0.0,0.0,0.0
4231051-tg151,0.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
4152072-tg272,0.0,0.0,0.0,0.0,10.0,0.0,1.9333333333333331,0.0,0.0,0.0
4152030-tg230,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
4141009-tg109,0.0,1.189119170984456,0.0,0.0,0.0,0.0,7.651435664939552,0.0,0.0,0.0
4221018-tg118,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
4202003-tg203,0.0,3.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0
4231050-tg150,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0
4152002-tg202,0.0,1.7037037037037037,0.8518518518518519,0.0,0.2962962962962963,1.7037037037037037,0.0,0.0,0.0,0.0
4152017-tg217,0.0,0.8666666666666667,0.0,0.0,0.0,1.7333333333333334,0.0,0.8666666666666667,0.0,0.0
4231058-tg158,0.0,0.0,0.0,0.0,0.3333333333333333,3.0,0.0,0.0,0.0,0.0
4221068-tg168,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0
4231023-tg123,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
4152038-tg238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4202010-tg210,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4221026-tg126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4202074-tg274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4152035-tg235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4231043-tg143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
