school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
2031009-mz9,12,2,3,0,0,16,0,0,0,0,0,0,0,0
1011006-ct6,0,1,0,0,1,0,0,1,0,1,1,0,0,0
4221017-tg117,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2031017-mz17,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1011020-ct20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031004-mz4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031021-mz21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031025-mz25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3051031-rj31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4231084-tg184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
