school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
3051032-rj32,0,0,10,0,2,2,0,0,0,16,0,0,0,0
3072050-rj100,0,0,0,0,0,0,8,8,0,3,0,0,0,0
3072015-rj65,0,0,0,0,0,0,0,18,0,0,0,0,0,0
3072023-rj73,0,0,7,0,0,0,4,0,0,4,0,0,0,0
3051010-rj10,0,0,1,3,2,1,0,0,0,2,0,1,0,0
3051025-rj25,0,0,4,1,0,0,0,0,0,4,0,0,0,0
4122100-tg300,0,0,0,0,2,0,2,3,1,0,0,0,0,0
3072008-rj58,0,0,0,0,0,0,8,0,0,0,0,0,0,0
1011020-ct20,3,0,4,0,0,0,0,0,0,0,0,0,0,0
3051023-rj23,0,0,0,0,0,0,5,0,0,1,0,0,0,0
3051036-rj36,0,0,0,0,1,0,0,0,0,4,0,0,0,0
3051049-rj49,0,0,1,0,0,0,0,0,0,3,0,0,0,0
2031017-mz17,0,0,2,0,0,0,0,0,0,2,0,0,0,0
3072026-rj76,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2031007-mz7,1,0,0,0,0,0,0,0,0,2,0,0,0,0
3051031-rj31,0,0,0,0,0,0,0,0,0,3,0,0,0,0
4231036-tg136,0,0,2,1,0,0,0,0,0,0,0,0,0,0
4152002-tg202,0,0,1,0,0,0,0,0,2,0,0,0,0,0
3072018-rj68,0,0,0,0,0,0,0,0,0,2,0,0,0,0
3051047-rj47,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4231019-tg119,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4202059-tg259,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3051019-rj19,0,0,0,0,0,0,0,0,0,2,0,0,0,0
3051014-rj14,0,0,0,0,0,0,0,0,0,2,0,0,0,0
3051011-rj11,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1011007-ct7,0,0,0,0,0,0,0,0,0,2,0,0,0,0
3051050-rj50,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1011009-ct9,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4202034-tg234,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1011022-ct22,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1011021-ct21,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4192099-tg299,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4152031-tg231,0,0,0,0,0,0,0,0,0,2,0,0,0,0
3072032-rj82,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1011017-ct17,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2031010-mz10,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2031008-mz8,0,0,0,0,0,0,0,0,0,2,0,0,0,0
3072049-rj99,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4141045-tg145,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4112043-tg243,0,0,0,0,0,0,0,0,0,2,0,0,0,0
3072043-rj93,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3072019-rj69,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1011001-ct1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1011019-ct19,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2031021-mz21,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3051033-rj33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4152072-tg272,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011026-ct26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011024-ct24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011023-ct23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
