school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
3051006-rj6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621.0,0.0,0.0
3051050-rj50,0.0,0.0,0.0,0.0,226.0,0.0,0.0,273.0,0.0,0.0
2031009-mz9,0.0,0.0,0.0,0.0,385.3333333333333,0.0,42.33333333333333,39.0,0.0,0.0
3051025-rj25,0.0,0.0,0.0,0.0,376.0,0.0,26.991666666666667,0.0,0.0,0.0
3051036-rj36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,228.0,0.0
3072019-rj69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,153.0,0.0
2031016-mz16,0.0,67.0,67.0,0.0,67.0,67.0,1.7833333333333332,0.0,0.0,0.0
3051032-rj32,16.0,0.0,0.0,0.0,96.57142857142857,0.0,0.0,17.0,0.0,0.0
2031030-mz30,0.0,0.0,40.0,0.0,40.0,40.0,5.333333333333333,0.0,0.0,0.0
3051049-rj49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.4,34.0,0.0
1011024-ct24,0.0,0.0,0.0,0.0,0.0,0.0,117.89074074074074,0.0,0.0,0.0
1011023-ct23,0.0,0.0,0.0,0.0,0.0,0.0,111.69166666666666,0.0,0.0,0.0
1011003-ct3,0.0,0.0,0.0,0.0,0.0,0.0,99.78333333333333,0.0,0.0,0.0
1011011-ct11,0.0,0.0,0.0,0.0,0.0,0.0,73.71388888888889,0.0,0.0,0.0
1011022-ct22,0.0,0.0,0.0,0.0,0.0,0.0,64.75333333333333,0.0,0.0,0.0
3072041-rj91,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0
2031011-mz11,0.0,0.0,0.0,0.0,0.0,0.0,49.733333333333334,0.0,0.0,0.0
3072046-rj96,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0
4202034-tg234,0.0,0.0,1.0,0.0,15.25,1.0,0.0,0.0,0.0,17.0
1011020-ct20,0.0,0.0,0.0,0.0,0.0,0.0,28.23148148148148,0.0,0.0,0.0
1011019-ct19,0.0,0.0,0.0,0.0,0.0,0.0,27.455952380952375,0.0,0.0,0.0
3051031-rj31,17.0,0.6666666666666666,0.0,0.0,3.0,1.0,2.683333333333333,1.5,0.0,0.0
4122100-tg300,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3072023-rj73,0.0,0.0,0.0,0.0,0.0,0.0,14.549999999999999,2.0,0.0,0.0
1011006-ct6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0
4221067-tg167,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3072024-rj74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
2031017-mz17,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
3051044-rj44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
1011018-ct18,0.0,0.0,0.0,0.0,0.0,0.0,6.583333333333332,0.0,0.0,0.0
3051030-rj30,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
1011010-ct10,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4231036-tg136,0.0,0.0,0.0,0.0,0.0,0.0,3.3833333333333337,0.0,0.0,0.0
3072031-rj81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
3072030-rj80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
1011001-ct1,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0
2031007-mz7,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.0,0.0,0.0
3072012-rj62,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3072002-rj52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3072050-rj100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3051001-rj1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4152012-tg212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4192081-tg281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1011005-ct5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
