school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
3072008-rj58,0,0,1,0,0,1,0,0,0,9,14,0,0,0
3051032-rj32,0,0,8,1,16,0,0,0,0,0,0,0,0,0
3051018-rj18,2,0,0,0,4,0,0,14,0,2,0,2,0,0
1011006-ct6,1,0,0,0,0,0,0,9,0,13,0,0,0,0
4202003-tg203,0,0,2,0,5,0,2,2,2,0,2,8,0,0
3051022-rj22,0,0,13,0,0,0,0,0,1,9,0,0,0,0
3072029-rj79,0,0,0,0,0,0,0,0,0,0,0,18,0,0
3051036-rj36,2,0,0,0,0,0,0,0,14,1,1,0,0,0
4202004-tg204,0,0,0,0,10,0,0,0,0,6,0,1,0,0
3051023-rj23,0,0,0,0,1,0,0,0,0,15,0,0,0,0
4152012-tg212,0,0,1,0,7,0,0,4,0,1,0,0,0,0
3051031-rj31,0,0,1,0,0,0,0,12,0,0,0,0,0,0
3051002-rj2,0,0,0,0,0,0,0,0,0,8,4,0,0,0
4231084-tg184,0,0,0,0,8,0,0,4,0,0,0,0,0,0
3072032-rj82,0,0,1,0,0,2,0,0,3,4,0,0,0,0
1011004-ct4,9,1,0,0,0,0,0,0,0,0,0,0,0,0
3072026-rj76,0,0,0,0,3,3,0,0,3,0,0,0,0,0
1011005-ct5,8,0,0,0,0,0,0,0,0,0,0,0,0,0
3072047-rj97,0,0,1,0,0,0,0,0,0,7,0,0,0,0
3072041-rj91,0,0,8,0,0,0,0,0,0,0,0,0,0,0
3072006-rj56,0,0,0,0,0,0,2,6,0,0,0,0,0,0
3072033-rj83,0,0,0,0,0,0,0,0,0,7,0,0,0,0
3051007-rj7,0,0,0,0,4,0,0,0,0,2,0,0,0,0
1011014-ct14,0,0,0,0,0,0,0,0,0,0,1,4,0,0
1011001-ct1,0,0,0,0,1,0,0,0,1,3,0,0,0,0
1011016-ct16,3,0,2,0,0,0,0,0,0,0,0,0,0,0
1011011-ct11,4,0,0,0,0,0,0,0,0,0,0,0,0,0
3051014-rj14,0,0,0,0,4,0,0,0,0,0,0,0,0,0
3051015-rj15,0,0,0,0,3,0,0,0,0,0,0,0,0,0
3051041-rj41,0,0,0,0,0,0,0,3,0,0,0,0,0,0
4231036-tg136,0,0,3,0,0,0,0,0,0,0,0,0,0,0
4221040-tg140,0,0,0,0,1,2,0,0,0,0,0,0,0,0
4202058-tg258,0,0,2,0,1,0,0,0,0,0,0,0,0,0
4141008-tg108,0,0,0,0,2,0,0,0,0,0,0,0,0,0
3051035-rj35,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1011017-ct17,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3072031-rj81,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1011007-ct7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3072048-rj98,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3072030-rj80,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3051010-rj10,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1011018-ct18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4183023-tg23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4231082-tg182,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4231046-tg146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3051047-rj47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4221067-tg167,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072003-rj53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3051025-rj25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3051013-rj13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
