school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
4202004-tg204,27,30,12,9,21,8,4,27,7,25,13,23,6,0
4202034-tg234,16,22,17,11,20,22,10,16,30,9,15,11,8,0
4122100-tg300,15,25,20,8,11,7,24,7,13,9,15,21,6,0
3051002-rj2,5,11,6,11,8,17,9,9,22,23,22,15,7,0
4152072-tg272,24,18,32,7,2,13,13,8,8,10,13,10,6,0
1011001-ct1,3,5,2,0,1,0,39,27,41,15,3,2,0,0
3072026-rj76,26,0,2,28,9,17,0,13,12,0,0,0,0,0
4141009-tg109,6,3,18,7,7,2,1,17,11,4,6,21,3,0
4202058-tg258,29,16,9,5,3,5,3,3,11,8,4,7,2,0
4152092-tg292,8,15,22,14,5,12,3,2,4,4,3,4,2,0
4231036-tg136,8,9,21,10,4,3,6,5,1,5,5,3,8,0
3072032-rj82,0,0,3,0,0,15,0,29,24,10,0,5,0,0
1011006-ct6,5,2,0,0,0,0,6,12,14,17,11,6,1,0
3051022-rj22,0,22,18,0,0,0,0,2,15,16,0,0,0,0
3051036-rj36,25,3,0,0,0,3,0,0,19,1,16,2,0,0
3072008-rj58,4,5,2,1,0,5,5,6,4,9,20,4,3,0
4152012-tg212,2,4,5,1,7,2,6,10,3,5,1,7,9,0
1011016-ct16,17,3,11,6,2,2,2,1,4,3,4,1,2,0
4152038-tg238,9,6,10,1,0,0,2,4,3,4,5,2,0,0
1011007-ct7,18,7,0,0,3,0,9,0,2,2,0,0,2,0
1011009-ct9,41,0,1,0,0,0,0,0,0,0,0,0,0,0
3051032-rj32,1,2,9,8,17,2,0,0,0,0,0,0,0,0
3072033-rj83,1,0,11,0,0,0,0,1,15,8,0,0,0,0
3051018-rj18,9,2,0,2,4,0,1,14,0,2,0,2,0,0
4231084-tg184,8,0,2,1,8,0,1,10,3,0,0,1,0,0
3051007-rj7,5,5,6,2,7,0,1,1,4,3,0,0,0,0
3072006-rj56,0,1,0,0,0,0,9,15,0,0,0,4,1,0
4202003-tg203,0,2,2,0,5,0,4,2,2,0,3,8,1,0
3051023-rj23,13,0,0,0,1,0,0,0,0,15,0,0,0,0
3072029-rj79,0,0,0,0,0,0,0,0,0,0,0,29,0,0
1011008-ct8,11,2,12,0,0,0,0,0,1,2,0,0,0,0
3051035-rj35,5,5,4,2,2,0,1,1,4,3,0,0,0,0
1011017-ct17,0,0,0,0,0,0,16,1,0,0,1,8,0,0
4152031-tg231,10,7,1,2,0,0,0,1,1,0,0,3,1,0
1011004-ct4,22,4,0,0,0,0,0,0,0,0,0,0,0,0
3072030-rj80,0,0,15,3,0,0,4,0,0,0,1,1,0,0
3072003-rj53,0,0,0,0,0,0,0,0,24,0,0,0,0,0
3072048-rj98,13,4,0,0,0,0,4,1,0,0,0,2,0,0
3072047-rj97,9,0,7,0,0,0,0,0,0,7,0,0,0,0
4202059-tg259,2,3,0,0,0,0,2,2,1,4,1,3,2,0
3051010-rj10,9,0,0,0,0,0,0,0,0,0,0,10,0,0
3051047-rj47,0,3,0,0,1,13,0,0,2,0,0,0,0,0
1011005-ct5,10,9,0,0,0,0,0,0,0,0,0,0,0,0
3072028-rj78,0,0,18,0,0,0,0,0,0,0,1,0,0,0
3051031-rj31,0,0,2,0,0,0,0,13,0,1,0,0,0,0
1011011-ct11,15,0,0,0,0,0,0,0,0,0,0,0,0,0
4173074-tg74,3,2,3,0,0,1,0,0,0,2,1,2,1,0
3051025-rj25,13,0,0,0,0,0,2,0,0,0,0,0,0,0
1011014-ct14,0,3,0,0,0,2,0,0,0,0,1,7,0,0
3072041-rj91,0,0,9,0,0,4,0,0,0,0,0,0,0,0
