school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
4231058-tg158,38,14,32,12,3,6,2,5,3,4,0,0,2,0
4152012-tg212,7,6,7,4,9,0,4,2,13,5,4,2,0,0
4152031-tg231,9,0,10,1,1,0,0,1,0,26,0,2,0,0
4173074-tg74,8,12,9,2,1,1,2,0,1,2,1,2,0,0
3051032-rj32,0,0,6,1,10,0,0,0,0,3,0,0,3,0
1011019-ct19,0,0,0,0,0,0,1,1,7,2,11,0,0,0
4122100-tg300,3,2,5,1,1,0,4,1,1,2,2,0,0,0
3072050-rj100,0,0,2,5,0,14,0,0,0,1,0,0,0,0
3072032-rj82,0,0,3,0,1,1,0,2,3,8,0,0,0,0
3051002-rj2,0,0,0,0,11,0,0,0,0,2,0,0,0,0
4202034-tg234,0,0,0,0,5,0,1,5,0,0,0,0,0,0
4141009-tg109,4,2,2,0,2,0,0,0,0,0,0,0,0,0
3051005-rj5,0,0,2,2,4,1,0,0,0,1,0,0,0,0
4231036-tg136,0,0,4,1,2,2,0,0,0,0,0,0,0,0
4152038-tg238,2,0,6,0,0,0,0,0,0,1,0,0,0,0
1011004-ct4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
4231084-tg184,0,0,0,0,0,0,0,0,0,8,0,0,0,0
3072026-rj76,0,0,0,0,4,1,0,0,0,0,2,1,0,0
3072031-rj81,0,0,0,0,0,0,0,0,0,8,0,0,0,0
1011009-ct9,0,0,0,0,0,0,0,0,0,0,7,0,0,0
4202004-tg204,0,0,3,1,1,0,0,0,0,0,0,0,0,0
3051008-rj8,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1011008-ct8,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4192081-tg281,0,0,0,0,0,0,0,1,0,1,0,0,0,0
4152082-tg282,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4141035-tg135,0,0,0,0,0,0,0,0,0,2,0,0,0,0
3051036-rj36,0,0,0,0,0,0,0,0,0,0,1,1,0,0
3072008-rj58,0,0,0,0,0,0,0,0,0,2,0,0,0,0
3072030-rj80,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1011006-ct6,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4152002-tg202,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3051041-rj41,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1011020-ct20,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4152092-tg292,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4202058-tg258,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3072040-rj90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072023-rj73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072003-rj53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4231057-tg157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4231046-tg146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011016-ct16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4202032-tg232,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011017-ct17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4192099-tg299,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072024-rj74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031025-mz25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011022-ct22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011023-ct23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4141038-tg138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011028-ct28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
