school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
4122100-tg300,2,5,3,0,3,4,10,3,0,0
4231036-tg136,1,3,1,1,9,1,10,1,1,1
4152031-tg231,0,2,3,0,3,1,8,5,0,0
3051032-rj32,0,5,4,0,3,2,7,0,0,0
4231058-tg158,1,5,2,0,4,1,1,4,1,0
4141009-tg109,0,2,1,1,3,3,6,1,0,0
4173074-tg74,3,2,1,0,2,1,2,3,1,1
4152012-tg212,0,3,0,0,4,0,0,2,1,0
4152092-tg292,1,2,0,0,1,0,3,1,0,0
4152038-tg238,0,0,0,3,2,0,2,1,0,0
3051002-rj2,0,1,1,0,3,0,0,3,0,0
3051005-rj5,0,1,0,0,3,2,1,0,0,0
4202034-tg234,0,2,0,0,1,3,0,0,0,1
4192081-tg281,0,1,0,0,2,1,0,2,0,0
3072026-rj76,0,1,1,0,2,1,0,0,0,0
1011028-ct28,0,2,1,0,0,2,0,0,0,0
4202004-tg204,0,0,0,0,0,1,3,0,0,0
1011020-ct20,0,0,1,0,0,1,1,1,0,0
4173079-tg79,0,0,0,0,2,0,1,1,0,0
4202032-tg232,0,1,1,0,0,1,0,0,0,0
3072032-rj82,1,1,0,0,0,0,0,0,0,0
4183023-tg23,0,0,0,0,0,1,1,0,0,0
4152002-tg202,1,0,0,0,0,1,0,0,0,0
3072024-rj74,0,0,0,0,1,0,1,0,0,0
3072008-rj58,0,0,0,0,0,0,0,2,0,0
4231046-tg146,0,0,0,0,0,1,0,0,0,0
1011011-ct11,0,0,0,0,0,0,1,0,0,0
1011013-ct13,0,1,0,0,0,0,0,0,0,0
3072050-rj100,0,0,0,0,0,0,0,1,0,0
3072030-rj80,0,0,0,0,1,0,0,0,0,0
3051036-rj36,0,0,0,0,1,0,0,0,0,0
3051008-rj8,0,0,0,0,1,0,0,0,0,0
1011019-ct19,0,0,0,0,1,0,0,0,0,0
1011014-ct14,0,0,0,0,0,0,0,1,0,0
4231084-tg184,0,0,0,0,0,0,0,1,0,0
