school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
3072040-rj90,21,6,19,0,0,35,0,25,17,0,28,24,0,0
4202034-tg234,8,17,14,5,2,18,13,12,7,7,14,16,5,0
3072008-rj58,0,1,24,2,1,8,9,7,15,11,27,15,9,0
3072036-rj86,0,6,29,9,4,8,11,6,1,11,8,33,0,0
1011007-ct7,24,20,0,0,3,8,28,1,2,13,9,4,7,0
3072032-rj82,18,9,10,3,4,12,4,21,4,11,10,1,11,0
4152031-tg231,20,8,27,15,4,3,7,6,2,10,2,4,2,0
3072026-rj76,18,2,16,5,7,25,5,3,2,0,6,11,0,0
4202004-tg204,5,1,18,13,14,13,3,0,4,4,3,16,0,0
4141009-tg109,2,3,23,11,3,5,6,9,3,2,6,19,1,0
3051002-rj2,0,0,2,0,8,20,3,6,1,5,3,28,15,0
4173074-tg74,24,21,8,1,1,0,5,1,4,8,5,9,0,0
3072014-rj64,5,5,13,5,0,2,2,11,5,10,9,19,0,0
3051023-rj23,8,6,22,1,2,5,3,0,0,0,6,22,0,0
3072022-rj72,0,0,18,0,0,26,0,1,0,0,13,17,0,0
1011009-ct9,52,2,3,0,0,1,0,1,1,0,10,1,0,0
4152072-tg272,13,11,10,6,1,6,2,1,1,2,9,5,0,0
1011011-ct11,33,6,9,0,0,2,0,0,0,0,0,15,1,0
4122100-tg300,9,19,0,2,4,2,9,4,5,4,2,6,0,0
3072015-rj65,4,4,4,0,0,1,3,0,7,9,2,31,0,0
4152012-tg212,12,2,12,1,11,1,9,0,3,2,7,2,3,0
3072034-rj84,12,0,0,0,0,0,0,26,0,0,26,0,0,0
3072011-rj61,0,1,0,0,0,0,0,0,0,0,26,36,0,0
3051006-rj6,0,0,4,1,0,9,0,0,1,5,19,19,1,0
3072013-rj63,0,0,0,0,0,0,1,18,0,0,20,19,0,0
3051031-rj31,6,2,11,1,0,16,3,0,2,4,9,3,1,0
4231036-tg136,7,2,4,3,1,18,2,5,1,3,0,9,2,0
3072029-rj79,0,0,18,0,0,0,0,0,0,0,18,16,0,0
3051005-rj5,14,6,6,4,5,7,5,0,1,1,3,0,0,0
4152038-tg238,19,9,7,2,1,2,2,2,1,2,3,2,0,0
3051015-rj15,1,0,10,2,2,4,3,0,1,3,17,6,2,0
3072002-rj52,2,3,0,0,0,0,3,4,6,3,12,18,0,0
3051050-rj50,0,0,1,0,0,1,0,14,2,2,14,14,0,0
4231084-tg184,2,1,17,1,0,0,0,13,4,0,0,9,0,0
3051026-rj26,10,7,1,0,11,2,0,0,0,14,1,0,1,0
1011019-ct19,0,1,2,1,0,0,32,6,2,1,0,1,0,0
3051032-rj32,11,0,7,3,16,4,0,0,0,2,0,0,2,0
3072006-rj56,0,0,15,2,0,3,1,1,0,0,23,0,0,0
1011022-ct22,2,0,0,0,0,0,21,21,0,0,0,0,0,0
3072050-rj100,23,4,0,0,0,16,0,0,0,0,0,0,0,0
3072048-rj98,7,2,1,3,7,4,0,3,2,3,5,6,0,0
3051036-rj36,0,0,0,0,0,0,0,0,0,0,28,13,0,0
4231057-tg157,2,2,1,0,0,0,1,12,2,0,2,17,1,0
3072028-rj78,0,0,16,0,0,0,1,5,0,16,0,0,0,0
3051004-rj4,0,0,0,0,0,0,1,2,4,2,21,5,0,0
3051007-rj7,0,0,0,0,3,3,3,0,1,1,13,11,0,0
3051041-rj41,2,0,9,1,0,0,0,0,1,0,0,21,1,0
3051014-rj14,0,0,1,1,4,6,1,0,0,0,6,15,0,0
4141088-tg188,6,7,4,2,2,1,1,1,5,3,0,0,0,0
1011020-ct20,0,0,2,0,0,0,22,1,0,6,0,1,0,0
