school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
4122100-tg300,0,0,0,0,9,0,0,1,2,0,0,0,0,0
4231023-tg123,5,0,1,0,0,0,0,0,0,2,0,0,0,0
4152012-tg212,1,0,0,0,0,0,0,5,0,0,0,0,0,0
4141008-tg108,0,0,0,0,3,0,0,0,0,2,0,0,0,0
4221034-tg134,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4141009-tg109,0,0,0,1,0,0,0,1,0,0,0,0,0,0
4202034-tg234,0,0,0,0,0,0,1,1,0,0,0,0,0,0
4152008-tg208,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1011006-ct6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4231057-tg157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4231051-tg151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4231036-tg136,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4231027-tg127,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4152038-tg238,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4202058-tg258,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4192081-tg281,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031017-mz17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3051032-rj32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031030-mz30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031028-mz28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4231084-tg184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
