school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
2051012-mz99,8,6,6,2,3,11,1,1,6,3,0,0,0,0
4152013-tg213,0,3,1,0,1,1,13,3,2,5,10,5,1,0
4231036-tg136,3,8,16,2,0,2,1,0,0,5,3,2,0,0
2051006-mz93,5,5,4,2,2,0,1,1,12,3,0,0,0,0
2051008-mz95,7,7,5,3,2,0,2,1,4,3,1,0,0,0
4231051-tg151,10,12,2,0,1,0,1,0,5,2,1,0,0,0
2051009-mz96,6,5,5,2,3,0,3,1,4,3,0,0,0,0
2051001-mz88,7,5,5,3,3,0,1,1,4,3,0,0,0,0
2051005-mz92,6,5,4,2,2,0,2,2,5,3,0,0,0,0
4221034-tg134,5,5,4,2,2,0,1,1,4,3,0,0,0,0
2051007-mz94,5,5,4,2,2,0,1,1,4,3,0,0,0,0
2031030-mz30,0,0,17,0,0,0,0,0,0,0,0,0,0,0
4141009-tg109,0,0,0,1,0,1,7,2,0,0,0,0,4,0
4231027-tg127,0,0,0,0,0,2,2,0,1,1,2,0,1,0
4152012-tg212,1,1,1,0,0,0,0,6,0,0,0,0,0,0
4231057-tg157,0,0,3,3,0,0,0,0,0,0,0,0,0,0
4152008-tg208,1,1,2,0,1,0,0,0,0,0,0,0,0,0
4202010-tg210,3,0,0,0,0,0,0,0,1,0,0,0,0,0
2031017-mz17,0,2,0,0,0,0,0,0,0,0,0,0,0,0
4231084-tg184,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4221074-tg174,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4202058-tg258,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3051032-rj32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031028-mz28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011006-ct6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
