school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
4231036-tg136,0,2,1,3,4,0,10,0,0,0
2031030-mz30,0,0,0,0,18,0,0,0,0,0
2051012-mz99,0,0,0,0,12,0,0,0,0,0
2051009-mz96,0,1,1,0,0,2,1,0,0,0
4141009-tg109,0,1,0,0,3,0,1,0,0,0
2051008-mz95,0,0,0,0,0,2,1,0,0,0
4231051-tg151,0,0,0,0,3,0,0,0,0,0
2051007-mz94,0,0,0,0,1,1,0,0,0,0
4152013-tg213,0,0,0,0,2,0,0,0,0,0
4231057-tg157,0,0,0,0,0,0,1,1,0,0
4141008-tg108,0,0,0,1,0,0,0,0,0,0
4202010-tg210,1,0,0,0,0,0,0,0,0,0
4231064-tg164,0,0,0,1,0,0,0,0,0,0
