school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
4231036-tg136,0.0,1.0,1.0,3.0,2.0,0.0,5.0,0.0,0.0,0.0
2031030-mz30,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
4122100-tg300,0.0,2.6666666666666665,2.0,0.0,1.0,1.0,2.5,0.0,0.0,0.0
4141009-tg109,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
4202034-tg234,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
4231057-tg157,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
4231051-tg151,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0
4141008-tg108,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4152038-tg238,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4173079-tg79,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4231064-tg164,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
