school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
4231058-tg158,14,11,6,2,3,4,2,7,3,6,0,3,0,0
3072036-rj86,0,0,0,0,0,2,2,5,0,1,0,5,16,0
4152012-tg212,3,4,0,0,0,0,7,2,4,6,2,3,0,0
3072013-rj63,0,0,0,0,0,0,2,4,0,0,12,8,4,0
4221017-tg117,21,5,0,0,0,0,0,0,0,0,0,0,0,0
4221074-tg174,2,0,0,0,1,0,0,2,0,3,0,6,0,0
3051050-rj50,2,0,0,0,0,0,0,0,0,4,3,1,0,0
4221026-tg126,0,0,0,0,0,0,0,8,0,1,0,0,0,0
3072032-rj82,0,0,0,0,0,5,0,0,0,2,2,0,0,0
4202004-tg204,0,0,4,3,0,0,0,0,0,0,0,0,0,0
3051005-rj5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
3051026-rj26,0,0,0,0,0,0,0,0,0,5,0,0,0,0
4231036-tg136,0,0,3,0,1,0,0,0,0,1,0,0,0,0
4231046-tg146,2,0,0,0,1,0,0,0,0,0,0,0,0,0
3051004-rj4,0,0,0,0,0,0,0,0,0,1,0,2,0,0
4202003-tg203,0,0,0,0,1,0,0,0,0,1,0,0,0,0
4231084-tg184,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4141009-tg109,0,0,0,0,0,0,0,1,0,1,0,0,0,0
4231051-tg151,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4231078-tg178,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4202010-tg210,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4231027-tg127,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4231057-tg157,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1011004-ct4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2031007-mz7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3072042-rj92,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3051032-rj32,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4221018-tg118,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4221024-tg124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4221040-tg140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4221067-tg167,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4221068-tg168,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4141035-tg135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4141008-tg108,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072028-rj78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072026-rj76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072024-rj74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072002-rj52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4183023-tg23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
