school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
4221026-tg126,5,6,17,2,9,4,4,40,23,12,8,11,10,0
3072013-rj63,3,6,8,0,2,13,6,16,13,5,25,20,14,0
4231058-tg158,16,30,10,5,4,9,5,11,8,9,4,7,0,0
4221074-tg174,16,10,6,3,4,2,5,19,13,13,5,18,1,0
3072036-rj86,0,9,0,11,0,19,3,9,5,15,5,8,30,0
4231051-tg151,39,1,22,4,4,2,3,1,0,4,1,12,2,0
4231036-tg136,9,9,18,10,3,16,3,6,1,10,4,1,1,0
4152012-tg212,6,8,0,1,1,0,8,5,4,8,4,5,4,0
4141009-tg109,4,3,3,1,0,3,9,4,15,7,2,0,1,0
4202010-tg210,12,13,0,0,0,3,4,2,4,1,5,5,3,0
3072032-rj82,1,5,1,1,0,13,1,0,0,3,25,0,0,0
4221017-tg117,23,10,3,0,0,0,1,1,0,2,2,6,0,0
4202004-tg204,19,8,9,8,0,4,0,0,0,0,0,0,0,0
3072042-rj92,0,2,10,3,1,6,1,0,0,1,1,22,0,0
4231027-tg127,0,4,0,2,0,1,5,5,3,6,10,7,1,0
4221067-tg167,4,2,0,1,0,3,1,6,8,4,8,2,3,0
3051004-rj4,3,2,1,0,1,1,5,0,1,8,3,12,0,0
3051050-rj50,10,2,0,2,0,3,1,0,3,5,6,1,3,0
4231057-tg157,0,0,30,2,0,1,0,0,0,0,0,0,0,0
4231046-tg146,9,2,3,0,2,1,9,0,1,2,1,3,0,0
4231078-tg178,5,5,4,2,2,0,1,1,4,3,0,0,0,0
3072024-rj74,0,0,0,3,0,0,0,0,0,0,3,19,0,0
3051005-rj5,9,1,0,0,0,0,4,3,0,1,2,3,0,0
3072002-rj52,0,0,0,0,0,0,0,0,0,0,2,20,0,0
4221068-tg168,0,0,0,0,0,0,0,6,7,3,1,4,0,0
4221018-tg118,2,0,0,0,0,0,7,0,4,1,0,5,0,0
4221040-tg140,0,6,2,0,0,0,0,5,0,2,0,2,0,0
3072026-rj76,0,0,0,0,1,0,0,0,0,0,0,13,0,0
2031007-mz7,4,0,4,1,0,1,0,0,0,0,0,0,0,0
3051026-rj26,0,0,0,0,0,0,0,0,0,8,0,0,0,0
4231084-tg184,0,0,0,0,0,0,0,1,5,2,0,0,0,0
3072028-rj78,0,2,0,0,0,3,0,0,0,0,0,0,0,0
1011004-ct4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4202003-tg203,1,1,0,0,1,0,0,0,0,1,0,0,0,0
4141035-tg135,0,0,0,0,0,0,3,0,0,0,0,0,0,0
4221024-tg124,0,1,0,0,0,0,1,0,0,0,0,0,0,0
3051032-rj32,0,0,0,1,0,0,0,0,0,0,0,0,1,0
4141008-tg108,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4183023-tg23,0,0,0,1,0,0,0,0,0,0,0,0,0,0
