school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
3072032-rj82,0.0,0.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0
4231036-tg136,1.0,2.0,1.0,0.0,2.8,2.0,5.857142857142857,1.0,0.0,0.0
4152038-tg238,2.0,1.0,1.0,0.0,3.875,1.0,3.0,0.0,0.0,0.0
4152031-tg231,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.666666666666667,0.0,0.0
3072036-rj86,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
4152082-tg282,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0
4231058-tg158,0.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0
4141009-tg109,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
4122100-tg300,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,2.75,0.0,0.0,0.0
4173079-tg79,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
3051032-rj32,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
4231046-tg146,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1011018-ct18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
3051005-rj5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
3051050-rj50,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
4221067-tg167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
4231027-tg127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
4152012-tg212,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3072013-rj63,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4202003-tg203,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
