school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
3051006-rj6,0.0,0.0,0.0,0.0,408.0,0.0,0.0,154.0,0.0,0.0
3072044-rj94,54.0,0.0,0.0,0.0,507.0,0.0,0.0,0.0,0.0,0.0
3072026-rj76,0.0,6.0,0.0,0.0,495.0,6.0,0.0,0.0,0.0,0.0
3051023-rj23,0.0,0.0,0.0,0.0,449.0,0.0,0.0,22.0,0.0,0.0
3072024-rj74,0.0,0.0,0.0,4.0,334.0,0.0,3.3166666666666664,0.0,0.0,0.0
3072040-rj90,0.0,0.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0
3072041-rj91,0.0,0.0,0.0,0.0,312.0,0.0,0.0,0.0,0.0,0.0
3051047-rj47,0.0,0.0,0.0,0.0,264.0,0.0,0.0,0.0,0.0,0.0
4231082-tg182,196.0,9.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0
1011011-ct11,0.0,0.0,0.0,0.0,222.0,0.0,0.0,0.0,0.0,0.0
3051002-rj2,0.0,0.0,0.0,0.0,56.0,0.0,0.0,72.0,0.0,40.0
3072022-rj72,0.0,0.0,0.0,0.0,119.0,0.0,0.0,6.0,0.0,0.0
2031009-mz9,0.0,0.0,0.0,0.0,0.0,0.0,123.16666666666666,0.0,0.0,0.0
4221040-tg140,0.0,0.0,0.0,61.25,36.333333333333336,0.0,0.0,12.0,0.0,0.0
3051013-rj13,0.0,0.0,0.0,0.0,94.5,0.0,7.766666666666667,0.0,0.0,0.0
4231036-tg136,7.0,2.3333333333333335,5.0,0.0,54.0,1.6666666666666667,5.9937499999999995,18.0,0.0,0.0
4202003-tg203,0.0,15.5,28.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
3072032-rj82,0.0,0.0,0.0,0.0,0.0,0.0,29.866666666666667,14.0,0.0,0.0
3072043-rj93,0.0,0.0,0.0,0.0,0.0,0.0,30.416666666666664,6.0,0.0,0.0
1011014-ct14,0.0,0.0,0.0,0.0,0.0,0.0,32.96666666666667,0.0,0.0,0.0
3051050-rj50,0.0,0.0,0.0,0.0,13.0,0.0,15.333333333333334,0.0,0.0,0.0
2031027-mz27,0.0,0.0,0.0,0.0,0.0,0.0,27.333333333333332,0.0,0.0,0.0
1011017-ct17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0
3051031-rj31,0.0,0.0,0.0,0.0,5.0,0.0,17.95,3.0,0.0,0.0
3051032-rj32,0.0,0.0,0.0,0.0,8.0,0.0,17.066666666666663,0.0,0.0,0.0
1011018-ct18,0.0,0.0,0.0,0.0,0.0,0.0,24.80833333333333,0.0,0.0,0.0
3072050-rj100,0.0,0.0,0.0,0.0,0.0,0.0,20.433333333333334,0.0,0.0,0.0
1011009-ct9,0.0,0.0,0.0,0.0,0.0,0.0,15.669047619047621,0.0,0.0,0.0
3051026-rj26,0.0,0.0,0.0,0.0,13.0,0.0,1.5833333333333337,0.0,0.0,0.0
3051035-rj35,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
1011004-ct4,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3072030-rj80,0.0,0.0,0.0,0.0,5.0,0.0,2.683333333333333,0.0,0.0,0.0
1011006-ct6,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
4152002-tg202,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1011013-ct13,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0
1011001-ct1,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3072015-rj65,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
4202004-tg204,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
1011016-ct16,0.0,0.0,0.0,0.0,0.0,0.0,1.1833333333333331,0.0,0.0,0.0
3051041-rj41,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3051011-rj11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4152012-tg212,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4231043-tg143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3051049-rj49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4202058-tg258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4141008-tg108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3072036-rj86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3051036-rj36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4231084-tg184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
