school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
3072036-rj86,0,0,0,3,0,0,17,0,20,0,3,14,0,0
1011018-ct18,2,0,3,0,0,0,0,0,4,11,11,15,0,0
3072023-rj73,0,0,6,1,1,0,0,0,0,30,0,0,0,0
1011014-ct14,3,0,15,0,0,0,14,0,0,0,0,0,0,0
3051022-rj22,0,0,9,6,0,0,0,0,10,4,0,0,0,0
3072002-rj52,0,0,20,0,0,0,0,0,0,5,0,0,0,0
3072050-rj100,0,0,10,5,3,1,0,0,0,4,0,0,0,0
3051032-rj32,0,0,9,0,0,3,0,0,0,0,0,8,0,0
3051024-rj24,6,0,0,0,14,0,0,0,0,0,0,0,0,0
3072025-rj75,0,0,14,0,0,0,0,0,0,4,0,0,0,0
1011011-ct11,18,0,0,0,0,0,0,0,0,0,0,0,0,0
3072028-rj78,0,0,0,0,0,5,0,0,0,1,11,0,0,0
3051001-rj1,0,0,0,0,0,1,1,12,0,0,3,0,0,0
3072027-rj77,0,0,6,6,0,0,0,0,3,1,0,0,0,0
3072046-rj96,0,0,0,0,0,0,0,0,14,0,0,0,0,0
3072026-rj76,0,0,3,0,0,0,0,0,0,11,0,0,0,0
3072016-rj66,0,0,0,0,0,0,0,13,0,0,0,0,0,0
3072032-rj82,0,0,0,0,0,0,0,0,0,12,0,0,0,0
3072006-rj56,0,0,0,0,0,0,0,0,0,7,5,0,0,0
2031017-mz17,6,3,0,0,1,0,0,0,0,0,0,0,0,0
1011001-ct1,1,0,0,0,0,0,0,0,0,7,1,0,0,0
3051018-rj18,9,0,0,0,0,0,0,0,0,0,0,0,0,0
3051049-rj49,0,0,8,1,0,0,0,0,0,0,0,0,0,0
3051006-rj6,0,0,0,0,0,0,6,0,0,3,0,0,0,0
3072024-rj74,0,0,2,0,0,0,0,0,0,7,0,0,0,0
3072048-rj98,0,0,4,0,0,1,3,0,0,0,0,0,0,0
3051050-rj50,3,0,5,0,0,0,0,0,0,0,0,0,0,0
3051033-rj33,0,0,0,0,0,0,0,0,0,0,7,0,0,0
3072043-rj93,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1011004-ct4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2031027-mz27,3,0,2,0,0,0,0,0,0,0,0,0,0,0
3072008-rj58,0,0,0,0,0,0,0,0,0,0,4,0,0,0
1011010-ct10,0,0,0,0,0,0,0,0,2,2,0,0,0,0
3051026-rj26,2,0,0,0,0,0,0,0,0,2,0,0,0,0
3072044-rj94,0,0,0,0,0,0,4,0,0,0,0,0,0,0
3051031-rj31,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1011022-ct22,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1011009-ct9,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4221024-tg124,0,0,0,0,0,0,0,0,0,2,0,0,0,0
3072012-rj62,0,0,0,0,0,0,0,0,0,0,2,0,0,0
3051015-rj15,0,0,0,0,0,0,0,0,0,2,0,0,0,0
3072035-rj85,0,0,0,0,0,0,0,0,0,2,0,0,0,0
3072033-rj83,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4152012-tg212,0,0,1,0,1,0,0,0,0,0,0,0,0,0
3051011-rj11,0,0,0,0,0,0,0,0,0,2,0,0,0,0
3051036-rj36,0,0,0,0,0,0,0,2,0,0,0,0,0,0
3072047-rj97,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2031025-mz25,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1011016-ct16,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4231036-tg136,0,0,1,0,0,0,0,0,0,0,0,0,0,0
