school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
1011018-ct18,21,9,20,7,0,3,30,3,21,17,26,26,0,0
3072023-rj73,26,17,16,32,1,13,11,2,0,42,0,5,3,0
3072036-rj86,0,1,6,3,0,10,41,2,45,0,17,19,0,0
3072030-rj80,28,9,0,0,0,0,27,1,38,1,11,4,0,0
1011009-ct9,4,1,82,20,0,3,0,1,2,1,1,0,1,0
3051026-rj26,16,17,9,16,1,3,10,8,7,4,10,4,5,0
1011014-ct14,28,10,23,4,0,0,19,19,0,0,0,0,0,0
3072002-rj52,4,3,28,4,1,3,9,2,4,11,23,3,0,0
1011022-ct22,14,0,0,1,1,3,25,1,20,8,4,3,3,0
3072029-rj79,15,0,0,0,0,33,32,0,0,0,0,0,0,0
3072028-rj78,1,3,0,0,0,30,2,0,1,6,36,0,1,0
3072026-rj76,29,1,19,0,0,2,11,0,0,15,0,0,0,0
2031017-mz17,25,31,0,0,1,0,18,0,0,0,0,0,0,0
3072008-rj58,0,0,0,0,0,27,0,0,0,0,45,0,0,0
3051031-rj31,3,6,6,7,1,16,14,1,0,11,2,3,0,0
3051011-rj11,1,5,3,2,4,0,3,9,0,33,2,0,4,0
3051022-rj22,2,3,11,11,5,0,1,3,14,10,3,0,3,0
2031025-mz25,5,5,4,2,2,0,32,3,4,5,0,0,0,0
3051004-rj4,26,8,11,0,2,0,3,4,0,4,1,0,0,0
3051001-rj1,0,2,0,0,0,7,24,14,1,1,4,1,2,0
3072050-rj100,0,0,12,5,5,5,0,0,0,14,0,14,0,0
3051032-rj32,1,1,10,2,0,10,0,0,0,0,14,14,2,0
3051030-rj30,38,4,1,1,2,0,6,0,1,0,0,0,1,0
3072027-rj77,10,3,7,6,0,0,9,1,5,1,12,0,0,0
3072006-rj56,0,0,0,0,0,17,0,0,0,13,22,0,0,0
3072033-rj83,22,2,21,0,0,0,1,0,1,5,0,0,0,0
3072016-rj66,0,0,0,0,0,0,8,26,0,17,0,0,0,0
2031030-mz30,9,1,39,1,0,0,0,0,0,0,0,0,0,0
3051002-rj2,3,1,0,0,0,0,27,0,1,16,0,2,0,0
3072024-rj74,23,0,10,3,0,0,0,0,0,13,0,0,0,0
3051024-rj24,16,6,7,0,14,0,0,0,0,0,0,0,0,0
3051033-rj33,7,1,0,1,0,1,0,3,2,3,21,0,3,0
4231036-tg136,8,13,9,6,0,2,0,0,1,2,1,0,0,0
3072035-rj85,5,5,4,2,2,0,1,1,4,3,14,0,0,0
1011011-ct11,23,1,0,0,0,15,0,0,0,0,0,0,0,0
3051008-rj8,24,1,0,0,0,11,0,0,0,3,0,0,0,0
2031020-mz20,19,0,19,0,0,0,0,0,0,0,0,0,0,0
3072032-rj82,3,1,0,0,0,1,8,0,0,25,0,0,0,0
3072025-rj75,0,3,19,0,0,0,0,1,0,12,0,3,0,0
2031008-mz8,23,0,0,0,0,15,0,0,0,0,0,0,0,0
3051049-rj49,3,0,12,3,2,3,9,0,0,1,3,1,0,0
1011001-ct1,13,2,0,0,0,0,3,0,2,10,4,1,0,0
3051027-rj27,4,1,5,2,2,3,2,1,3,5,1,5,1,0
3051050-rj50,13,6,9,2,0,2,1,0,0,0,0,1,0,0
3072040-rj90,0,1,0,0,1,1,0,0,2,0,22,7,0,0
3051015-rj15,6,2,2,0,0,0,4,1,1,17,0,0,0,0
3072048-rj98,1,0,17,0,2,1,7,0,1,2,0,0,0,0
4221024-tg124,6,6,4,2,2,0,3,1,4,3,0,0,0,0
3051036-rj36,0,0,0,0,0,0,0,17,0,0,0,7,5,0
3072043-rj93,0,0,22,0,0,3,0,0,0,3,0,0,0,0
