school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
3072044-rj94,0,0,2,0,0,2,8,13,0,0,14,0,0,0
4122100-tg300,0,0,9,0,11,0,0,0,4,0,0,0,0,0
3072002-rj52,0,0,0,0,0,0,0,0,0,23,0,0,0,0
3072023-rj73,0,0,18,4,0,0,0,0,0,0,0,0,0,0
3072050-rj100,0,0,11,0,1,0,0,10,0,0,0,0,0,0
3072014-rj64,0,0,0,0,0,0,0,17,0,0,4,0,0,0
3072015-rj65,0,0,0,0,0,0,0,0,0,5,14,0,0,0
3072032-rj82,0,0,15,1,0,0,0,0,0,0,1,0,0,0
3072046-rj96,0,0,0,0,16,0,0,0,0,0,0,0,0,0
3051001-rj1,0,0,5,0,0,0,0,1,0,9,0,0,0,0
3051032-rj32,0,0,14,0,0,0,0,0,0,0,0,1,0,0
3072031-rj81,0,0,0,0,14,0,0,0,0,0,1,0,0,0
3072025-rj75,0,0,0,0,0,0,0,0,0,14,0,0,0,0
3072026-rj76,0,0,6,0,0,0,0,0,0,8,0,0,0,0
3072024-rj74,0,0,2,0,0,0,0,0,0,11,0,0,0,0
3051006-rj6,0,0,0,0,0,0,0,0,0,12,0,0,0,0
1011014-ct14,1,0,9,0,0,0,0,0,0,0,0,0,0,0
3051024-rj24,0,0,0,0,8,0,0,0,0,2,0,0,0,0
1011001-ct1,1,0,0,0,0,0,3,0,0,5,0,0,0,0
4152031-tg231,0,0,7,0,0,0,0,0,0,0,0,0,0,0
3051008-rj8,0,0,5,0,0,1,0,0,0,0,0,0,0,0
4231084-tg184,0,0,0,0,0,0,5,0,0,0,0,0,0,0
3072028-rj78,0,0,0,0,0,0,4,0,0,0,0,0,0,0
1011018-ct18,0,0,2,0,0,0,0,2,0,0,0,0,0,0
3051013-rj13,0,0,0,0,0,0,2,0,0,2,0,0,0,0
3051027-rj27,0,0,0,0,0,0,0,0,0,4,0,0,0,0
3051036-rj36,0,0,0,0,3,0,0,0,0,0,0,0,0,0
4202034-tg234,0,0,1,0,0,0,0,2,0,0,0,0,0,0
4231036-tg136,0,0,2,0,1,0,0,0,0,0,0,0,0,0
3051047-rj47,0,0,3,0,0,0,0,0,0,0,0,0,0,0
4141038-tg138,0,0,0,0,0,0,0,0,0,2,0,0,0,0
3051041-rj41,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4232044-tg244,0,0,0,0,0,0,0,0,0,2,0,0,0,0
3051040-rj40,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4232045-tg245,0,0,0,0,0,0,0,0,0,2,0,0,0,0
3051030-rj30,0,0,0,0,0,0,2,0,0,0,0,0,0,0
3051028-rj28,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1011009-ct9,0,0,2,0,0,0,0,0,0,0,0,0,0,0
3051026-rj26,0,0,0,0,0,2,0,0,0,0,0,0,0,0
3051018-rj18,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4152002-tg202,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3072043-rj93,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4152008-tg208,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3072036-rj86,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3051050-rj50,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3051031-rj31,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2031007-mz7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3051010-rj10,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1011011-ct11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3051033-rj33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
