school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
3051024-rj24,0,16,4,0,0,14,0,0,0,0
3072029-rj79,0,0,0,0,28,0,0,0,0,0
3051026-rj26,0,0,0,0,16,0,12,0,0,0
4122100-tg300,0,10,9,0,1,7,0,0,0,0
3072008-rj58,0,0,0,0,27,0,0,0,0,0
3072002-rj52,0,0,0,1,7,0,0,12,0,6
3072046-rj96,0,17,5,0,3,0,0,0,0,0
1011018-ct18,0,0,0,0,0,0,23,0,0,0
3072023-rj73,0,0,0,0,3,0,20,0,0,0
3072031-rj81,0,14,0,0,0,8,0,1,0,0
3051008-rj8,0,0,0,3,15,0,3,0,0,0
3051032-rj32,0,0,0,0,20,0,0,0,0,0
3072028-rj78,0,0,0,0,20,0,0,0,0,0
3072018-rj68,0,0,0,0,19,0,0,0,0,0
3051036-rj36,0,5,4,0,1,5,0,0,0,3
3051006-rj6,0,0,0,0,0,0,0,3,12,2
2031009-mz9,0,4,1,0,3,2,5,2,0,0
3072025-rj75,0,0,0,0,0,0,0,13,0,2
3072050-rj100,0,4,0,0,11,0,0,0,0,0
3072047-rj97,6,1,0,0,6,0,0,2,0,0
3072020-rj70,0,0,0,0,15,0,0,0,0,0
3051031-rj31,0,0,0,0,13,0,0,1,0,0
1011022-ct22,0,0,0,0,0,0,13,0,0,0
3072026-rj76,0,0,0,0,3,0,0,10,0,0
3072027-rj77,0,0,0,0,12,0,0,0,0,0
1011003-ct3,0,0,0,0,0,0,10,0,0,0
3072034-rj84,0,0,0,0,9,0,0,0,0,0
3072024-rj74,0,0,0,0,0,0,6,3,0,0
3051027-rj27,0,1,0,0,2,0,0,5,0,0
4231036-tg136,0,5,0,0,0,1,2,0,0,0
3051004-rj4,0,0,0,0,0,0,0,7,0,0
3072006-rj56,0,0,0,6,0,0,0,0,0,0
3072044-rj94,0,0,0,0,6,0,0,0,0,0
3072048-rj98,0,2,2,0,2,0,0,0,0,0
4231082-tg182,0,0,0,0,0,3,0,2,0,0
1011001-ct1,0,0,0,0,0,0,0,5,0,0
3051001-rj1,0,2,0,0,0,2,0,1,0,0
3051044-rj44,0,0,0,0,0,0,0,2,1,2
1011014-ct14,0,0,1,0,0,0,4,0,0,0
4232044-tg244,0,1,0,0,3,0,0,0,0,0
1011017-ct17,0,0,0,0,0,0,0,4,0,0
4232045-tg245,0,1,1,0,1,0,0,1,0,0
3072043-rj93,0,0,0,0,3,0,0,0,0,0
3051013-rj13,0,0,0,0,0,0,3,0,0,0
4152031-tg231,0,0,0,0,1,2,0,0,0,0
3051049-rj49,0,0,0,0,0,0,0,0,0,2
3051011-rj11,0,0,0,0,0,0,0,2,0,0
3051010-rj10,0,0,0,0,1,0,0,1,0,0
3051002-rj2,0,0,0,0,0,0,0,2,0,0
3072009-rj59,0,0,2,0,0,0,0,0,0,0
