school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
4122100-tg300,9,10,35,11,59,4,18,21,25,13,9,13,1,0
4231058-tg158,42,17,34,15,6,10,4,10,5,9,0,3,2,0
4152031-tg231,15,5,26,15,9,2,0,24,4,28,0,10,0,0
3072036-rj86,0,0,1,3,0,2,23,13,20,26,3,25,16,0
4152012-tg212,9,9,12,4,13,0,16,15,18,15,7,10,0,0
3072001-rj51,0,0,24,0,0,0,15,27,0,15,25,0,0,0
3072008-rj58,0,0,15,0,0,1,8,1,8,15,28,24,0,0
3072032-rj82,1,0,23,1,2,7,2,14,7,33,5,0,3,0
3072050-rj100,8,0,19,17,4,14,8,11,0,9,0,0,0,0
3051032-rj32,0,0,22,2,22,6,0,0,0,19,0,8,3,0
4183023-tg23,6,0,18,8,2,9,12,19,0,7,0,0,0,0
2031009-mz9,12,2,7,0,5,16,4,18,0,17,0,0,0,0
3072044-rj94,0,0,2,3,0,11,8,29,0,5,17,0,0,0
3072002-rj52,0,0,20,0,0,0,0,2,1,28,10,14,0,0
1011018-ct18,3,0,5,0,11,0,0,2,4,13,16,15,0,0
3072023-rj73,0,0,24,5,1,0,4,0,0,34,0,0,0,0
3072006-rj56,0,0,5,0,0,0,2,17,0,11,15,14,0,0
3072015-rj65,1,0,1,0,0,0,14,18,0,11,14,4,0,0
4202003-tg203,0,0,2,0,6,0,9,19,9,5,4,8,0,0
4152038-tg238,12,0,23,12,1,9,0,0,0,4,1,0,0,0
3072014-rj64,0,0,8,0,0,0,0,20,0,4,19,11,0,0
3072026-rj76,0,0,18,1,11,3,0,0,3,18,5,1,0,0
3051050-rj50,8,0,11,0,0,2,8,0,0,6,7,14,0,0
3051022-rj22,0,0,22,6,0,0,0,0,10,15,0,0,0,0
4173074-tg74,13,13,9,2,2,1,2,0,1,4,1,2,0,0
4231084-tg184,0,0,14,0,8,0,7,4,5,12,0,0,0,0
3051023-rj23,0,0,12,0,2,8,5,0,0,17,3,0,0,0
3051006-rj6,0,0,1,0,0,2,6,0,11,20,2,5,0,0
1011014-ct14,3,1,16,0,0,0,14,4,0,2,3,4,0,0
3051036-rj36,2,0,0,0,3,0,0,10,14,5,11,1,0,0
3051018-rj18,11,0,7,2,4,2,0,14,0,4,0,2,0,0
3072046-rj96,0,0,0,0,16,0,8,1,14,4,0,0,0,0
4202034-tg234,0,2,6,0,10,6,3,9,0,6,0,0,0,0
3072013-rj63,1,0,0,0,0,0,2,5,0,2,12,15,4,0
4202004-tg204,0,0,11,4,16,0,0,0,0,9,0,1,0,0
3072016-rj66,0,0,0,0,0,0,0,13,0,2,0,25,0,0
3072028-rj78,0,0,0,0,0,6,4,0,0,17,11,0,0,0
1011001-ct1,1,0,1,0,8,6,3,0,1,17,1,0,0,0
3051001-rj1,0,0,5,0,0,1,1,12,0,12,4,0,0,0
3051002-rj2,0,0,2,0,13,0,0,0,0,12,4,2,0,0
3072029-rj79,1,0,8,0,0,0,0,0,0,2,4,18,0,0
3051025-rj25,2,0,8,15,1,0,0,0,0,6,0,0,0,0
1011006-ct6,3,1,1,0,1,0,0,9,1,15,1,0,0,0
4231036-tg136,0,0,18,2,5,2,0,0,0,3,0,1,0,0
3072025-rj75,0,0,14,0,0,0,0,0,0,16,0,0,0,0
3072040-rj90,0,0,13,0,0,1,0,0,0,2,13,0,0,0
3051026-rj26,2,0,0,0,10,2,0,0,0,14,0,0,0,0
3072031-rj81,0,0,0,0,14,0,0,0,1,11,1,0,0,0
3051024-rj24,6,0,0,0,18,0,0,0,0,2,0,0,0,0
3051013-rj13,0,0,21,0,0,1,2,0,0,2,0,0,0,0
