school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
4231036-tg136,8,27,8,11,55,7,86,14,2,16
4122100-tg300,9,57,24,7,19,23,15,10,0,0
3051032-rj32,2,22,11,0,31,18,26,4,0,0
4152031-tg231,2,19,8,3,21,8,15,27,0,0
3051002-rj2,0,15,10,0,36,12,0,21,0,3
3072026-rj76,0,7,6,0,36,4,28,10,0,0
4202034-tg234,8,18,10,8,27,13,0,2,0,2
1011009-ct9,0,0,0,0,2,0,84,0,0,0
1011018-ct18,0,7,8,0,10,5,40,6,0,1
3072032-rj82,3,3,0,0,29,2,21,16,0,0
3051006-rj6,0,0,0,0,16,0,4,39,12,2
2031009-mz9,0,4,2,3,24,4,22,8,0,2
3051026-rj26,0,12,0,0,18,0,12,11,11,4
3051031-rj31,2,3,0,2,34,2,16,4,0,0
3072028-rj78,0,0,0,0,48,0,0,12,0,0
2031030-mz30,0,0,2,0,20,2,35,0,0,0
1011024-ct24,0,0,0,0,3,0,55,0,0,0
3072023-rj73,0,1,0,0,7,0,26,18,0,2
4141009-tg109,2,5,1,2,10,5,24,2,0,0
4192081-tg281,9,6,2,0,23,4,0,7,0,0
1011001-ct1,0,9,8,0,6,7,7,12,0,0
3051023-rj23,0,3,0,4,18,3,12,9,0,0
1011011-ct11,0,0,0,0,14,0,32,0,0,0
1011020-ct20,0,0,2,0,1,2,38,2,0,0
1011019-ct19,0,0,0,0,1,1,42,0,0,0
4202004-tg204,0,13,1,0,5,11,9,5,0,0
4173074-tg74,6,4,1,4,4,2,10,9,1,3
3051025-rj25,0,0,0,0,17,0,26,0,0,0
3051015-rj15,0,4,2,4,4,3,10,15,0,0
4152038-tg238,2,1,1,1,20,2,10,5,0,0
3072008-rj58,0,2,2,0,29,0,0,9,0,0
3072050-rj100,0,6,0,0,23,0,8,1,0,2
3051050-rj50,0,0,0,0,16,0,13,11,0,0
4231058-tg158,2,8,4,1,10,2,3,8,1,0
3051049-rj49,0,2,0,0,2,0,6,23,3,2
3072024-rj74,0,1,0,2,20,0,7,7,0,0
3051036-rj36,0,5,4,0,6,5,0,7,6,3
3072040-rj90,0,0,0,0,35,1,0,0,0,0
4152012-tg212,0,14,2,0,4,5,1,7,1,0
2031014-mz14,0,0,0,0,0,0,34,0,0,0
3051024-rj24,0,16,4,0,0,14,0,0,0,0
1011022-ct22,0,0,0,0,0,0,33,0,0,0
3072031-rj81,0,14,0,0,0,8,0,10,0,0
3072002-rj52,0,0,0,1,8,0,0,17,0,6
3072020-rj70,0,0,0,0,31,0,0,0,0,0
3072022-rj72,0,0,0,0,30,0,0,1,0,0
3051022-rj22,0,3,0,0,0,0,12,16,0,0
3072029-rj79,0,0,0,0,28,0,2,0,0,0
2031011-mz11,2,0,0,0,0,0,27,0,0,0
3072006-rj56,0,1,0,6,17,1,2,2,0,0
