school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
1011020-ct20,20,5,33,5,0,1,3,2,2,1,1,1,1,0
1011001-ct1,13,8,13,0,0,5,15,0,2,3,3,0,1,0
1011024-ct24,0,0,57,3,0,0,0,0,0,0,0,0,0,0
1011019-ct19,0,1,52,4,0,0,0,0,0,0,0,0,0,0
1011023-ct23,0,0,49,0,0,0,0,0,0,0,0,0,0,0
1011011-ct11,1,0,40,3,0,0,0,0,0,0,0,0,0,0
1011022-ct22,1,0,37,2,0,0,0,0,0,0,0,0,0,0
1011003-ct3,0,0,38,0,0,0,0,0,0,0,0,0,0,0
1011005-ct5,16,4,1,0,0,0,0,3,1,5,1,1,0,0
1011004-ct4,25,1,2,0,0,0,0,0,0,0,0,0,0,0
1011006-ct6,19,3,1,0,0,0,0,0,1,4,0,0,0,0
1011021-ct21,5,5,4,2,2,0,1,1,4,3,0,0,0,0
1011017-ct17,5,5,4,2,2,0,1,1,4,3,0,0,0,0
1011009-ct9,5,5,4,2,2,0,1,1,4,3,0,0,0,0
1011007-ct7,5,5,4,2,2,0,1,1,4,3,0,0,0,0
1011028-ct28,3,12,1,0,0,2,1,1,1,1,1,0,1,0
1011018-ct18,0,0,8,0,0,0,0,2,0,0,0,0,0,0
1011010-ct10,0,1,8,0,0,0,0,0,0,0,0,0,1,0
1011014-ct14,3,1,0,0,0,0,1,0,0,0,0,0,0,0
1011026-ct26,1,0,0,0,0,0,1,0,1,0,0,0,0,0
