school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
1011006-ct6,1,0,0,0,0,0,0,9,0,13,0,0,0,0
1011004-ct4,9,1,0,0,0,0,0,0,0,0,0,0,0,0
1011005-ct5,8,0,0,0,0,0,0,0,0,0,0,0,0,0
1011001-ct1,0,0,0,0,1,0,0,0,1,3,0,0,0,0
1011014-ct14,0,0,0,0,0,0,0,0,0,0,1,4,0,0
1011016-ct16,3,0,2,0,0,0,0,0,0,0,0,0,0,0
1011011-ct11,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1011007-ct7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1011017-ct17,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1011008-ct8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011009-ct9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011018-ct18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011028-ct28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
