school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
1011001-ct1,3,5,2,0,1,0,39,27,41,15,3,2,0,0
1011006-ct6,5,2,0,0,0,0,6,12,14,17,11,6,1,0
1011016-ct16,17,3,11,6,2,2,2,1,4,3,4,1,2,0
1011007-ct7,18,7,0,0,3,0,9,0,2,2,0,0,2,0
1011009-ct9,41,0,1,0,0,0,0,0,0,0,0,0,0,0
1011008-ct8,11,2,12,0,0,0,0,0,1,2,0,0,0,0
1011004-ct4,22,4,0,0,0,0,0,0,0,0,0,0,0,0
1011017-ct17,0,0,0,0,0,0,16,1,0,0,1,8,0,0
1011005-ct5,10,9,0,0,0,0,0,0,0,0,0,0,0,0
1011011-ct11,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1011014-ct14,0,3,0,0,0,2,0,0,0,0,1,7,0,0
1011018-ct18,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1011028-ct28,0,1,0,0,0,0,0,0,0,0,0,0,0,0
