school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
1011019-ct19,0,0,0,0,0,0,1,1,7,2,11,0,0,0
1011004-ct4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
1011009-ct9,0,0,0,0,0,0,0,0,0,0,7,0,0,0
1011008-ct8,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1011006-ct6,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1011020-ct20,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1011016-ct16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011017-ct17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011022-ct22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011023-ct23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011028-ct28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
