school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
1011019-ct19,2,5,2,0,0,3,24,24,55,7,45,22,6,0
1011009-ct9,1,0,0,0,0,1,1,0,2,0,38,0,0,0
1011017-ct17,1,0,0,0,0,0,9,1,23,0,0,1,1,0
1011023-ct23,2,0,27,1,0,0,0,0,0,0,0,0,0,0
1011004-ct4,13,15,1,0,0,0,0,0,0,0,0,0,0,0
1011020-ct20,0,1,0,0,0,0,2,0,0,4,12,0,0,0
1011008-ct8,2,2,6,0,0,0,1,1,0,0,1,0,0,0
1011006-ct6,0,0,0,0,0,0,3,0,7,0,0,1,0,0
1011022-ct22,2,0,0,0,0,0,0,0,3,0,0,0,0,0
1011028-ct28,2,0,0,0,0,0,0,0,0,1,0,1,0,0
1011016-ct16,0,0,1,0,1,0,0,0,0,0,0,0,0,0
